curves/Recall-Confidence(B)_table,curves/Precision-Recall(B)_table,model/speed_PyTorch(ms),train_batch0,val/dfl_loss,_timestamp,val/cls_loss,F1_curve,train_batch2,curves/Precision-Confidence(B)_table,lr/pg1,R_curve,curves/F1-Confidence(B)_table,labels,train_batch1,lr/pg2,lr/pg0,train/dfl_loss,metrics/precision(B),model/GFLOPs,val_batch1_labels,confusion_matrix,model/parameters,confusion_matrix_normalized,metrics/recall(B),_runtime,val_batch0_pred,metrics/mAP50-95(B),val_batch1_pred,P_curve,train/box_loss,results,val/box_loss,metrics/mAP50(B),train/cls_loss,val_batch0_labels,_step,PR_curve,val_batch2_labels,val_batch2_pred,variant,seed,run_name,epoch
,,3.189,"{'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg'}",2.2857,1779981732.5823321,4.89785,,"{'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920, 'width': 1920, '_type': 'image-file'}",,0.00016438356164383562,,,"{'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600}","{'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file'}",0.00016438356164383562,0.06728767123287671,1.85336,0.3639,165.412,,,43632153.0,,0.34616,81.458626986,,0.12757,,,1.69284,,1.85376,0.27138,2.59572,,1,,,,baseline,1337,baseline_seed1337,1
,,,,2.52471,1779981767.7789655,4.84784,,,,0.0003309693684252292,,,,,0.0003309693684252292,0.034120923706324774,1.82214,0.26346,,,,,,0.25008,116.023749932,,0.07606,,,1.67871,,1.99538,0.17312,2.02243,,2,,,,baseline,1337,baseline_seed1337,2
,,,,2.5454,1779981800.6581166,3.2225,,,,0.0004972307403303534,,,,,0.0004972307403303534,0.0009538517448965528,1.78916,0.2796,,,,,,0.27556,148.880227313,,0.0906,,,1.64117,,2.03829,0.19815,1.89714,,3,,,,baseline,1337,baseline_seed1337,3
,,,,2.40536,1779981833.898178,4.28387,,,,0.0004989015862392623,,,,,0.0004989015862392623,0.0004989015862392623,1.77877,0.4383,,,,,,0.35763,182.200759267,,0.15497,,,1.62536,,1.98346,0.33535,1.88444,,4,,,,baseline,1337,baseline_seed1337,4
,,,,2.16244,1779981867.0944998,2.43894,,,,0.0004980483885753333,,,,,0.0004980483885753333,0.0004980483885753333,1.78177,0.4599,,,,,,0.46065,215.760095235,,0.20211,,,1.62992,,1.83103,0.42064,1.8532,,5,,,,baseline,1337,baseline_seed1337,5
,,,,2.01697,1779981900.5938003,1.92417,,,,0.0004969528642972965,,,,,0.0004969528642972965,0.0004969528642972965,1.75374,0.56075,,,,,,0.50846,248.964989254,,0.26887,,,1.60534,,1.75464,0.52072,1.77455,,6,,,,baseline,1337,baseline_seed1337,6
,,,,1.98522,1779981933.8983538,2.19925,,,,0.0004956160945553505,,,,,0.0004956160945553505,0.0004956160945553505,1.70994,0.58553,,,,,,0.50651,282.090368345,,0.26846,,,1.56743,,1.65616,0.52412,1.70489,,7,,,,baseline,1337,baseline_seed1337,7
,,,,1.91794,1779981966.7870169,1.7575,,,,0.00049403939857984,,,,,0.00049403939857984,0.00049403939857984,1.70223,0.62418,,,,,,0.52058,314.970135925,,0.29054,,,1.53177,,1.63525,0.54377,1.64331,,8,,,,baseline,1337,baseline_seed1337,8
,,,,1.90191,1779981999.652519,1.74265,,,,0.0004922243323793363,,,,,0.0004922243323793363,0.0004922243323793363,1.68471,0.62121,,,,,,0.56949,347.806468235,,0.3215,,,1.51486,,1.60123,0.58545,1.6084,,9,,,,baseline,1337,baseline_seed1337,9
,,,,1.89822,1779982032.3994548,1.65902,,,,0.0004901726872050434,,,,,0.0004901726872050434,0.0004901726872050434,1.6945,0.60306,,,,,,0.53583,380.505261835,,0.31094,,,1.49997,,1.59402,0.5616,1.55095,,10,,,,baseline,1337,baseline_seed1337,10
