_runtime,val_batch0_labels,curves/F1-Confidence(B)_table,lr/pg0,val_batch1_pred,train_batch0,val/box_loss,metrics/mAP50-95(B),train/box_loss,curves/Precision-Recall(B)_table,curves/Recall-Confidence(B)_table,lr/pg2,model/GFLOPs,train/cls_loss,P_curve,lr/pg1,metrics/mAP50(B),confusion_matrix_normalized,F1_curve,model/parameters,curves/Precision-Confidence(B)_table,_timestamp,metrics/precision(B),labels,metrics/recall(B),confusion_matrix,R_curve,val_batch2_labels,train_batch1,train/dfl_loss,model/speed_PyTorch(ms),_step,val_batch1_labels,results,val_batch0_pred,val/cls_loss,val/dfl_loss,PR_curve,train_batch2,val_batch2_pred,variant,seed,run_name,epoch
79.09222909,,,0.06728767123287671,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096}",1.82209,0.14875,1.6671,,,0.00016438356164383562,165.412,2.43988,,0.00016438356164383562,0.29598,,,43632153.0,,1779984469.6070628,0.3695,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600}",0.36228,,,,"{'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file'}",1.81785,5.487,1,,,,6.9889,2.14755,,"{'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg'}",,baseline,2024,baseline_seed2024,1
112.114188322,,,0.034120923706324774,,,2.01992,0.10697,1.67847,,,0.0003309693684252292,,2.00054,,0.0003309693684252292,0.23307,,,,,1779984503.1764908,0.30586,,0.28909,,,,,1.7926,,2,,,,3.1414,2.45058,,,,baseline,2024,baseline_seed2024,2
144.720810333,,,0.0009538517448965528,,,1.93045,0.1265,1.65665,,,0.0004972307403303534,,1.8852,,0.0004972307403303534,0.26073,,,,,1779984535.8158092,0.4345,,0.29749,,,,,1.79302,,3,,,,3.60167,2.32647,,,,baseline,2024,baseline_seed2024,3
177.457194017,,,0.0004989015862392623,,,1.85568,0.16948,1.63963,,,0.0004989015862392623,,1.8806,,0.0004989015862392623,0.36341,,,,,1779984568.5815804,0.40238,,0.44834,,,,,1.7893,,4,,,,3.41741,2.26665,,,,baseline,2024,baseline_seed2024,4
210.0758344,,,0.0004980483885753333,,,1.82175,0.19338,1.61233,,,0.0004980483885753333,,1.81186,,0.0004980483885753333,0.40286,,,,,1779984601.2526598,0.45257,,0.42947,,,,,1.76084,,5,,,,2.42676,2.17132,,,,baseline,2024,baseline_seed2024,5
242.979737528,,,0.0004969528642972965,,,1.73116,0.26319,1.58834,,,0.0004969528642972965,,1.75661,,0.0004969528642972965,0.50719,,,,,1779984634.1880548,0.58673,,0.47701,,,,,1.74267,,6,,,,1.87515,2.02364,,,,baseline,2024,baseline_seed2024,6
276.128088907,,,0.0004956160945553505,,,1.76264,0.25823,1.56769,,,0.0004956160945553505,,1.70666,,0.0004956160945553505,0.51601,,,,,1779984667.345703,0.58825,,0.49665,,,,,1.71735,,7,,,,1.92385,2.0177,,,,baseline,2024,baseline_seed2024,7
309.129292888,,,0.00049403939857984,,,1.63948,0.27932,1.53647,,,0.00049403939857984,,1.63404,,0.00049403939857984,0.53223,,,,,1779984700.1913786,0.55601,,0.54409,,,,,1.70404,,8,,,,1.74881,1.90751,,,,baseline,2024,baseline_seed2024,8
342.364997827,,,0.0004922243323793363,,,1.60759,0.31501,1.52012,,,0.0004922243323793363,,1.58722,,0.0004922243323793363,0.57877,,,,,1779984733.220913,0.60188,,0.55768,,,,,1.6799,,9,,,,1.70813,1.90118,,,,baseline,2024,baseline_seed2024,9
374.975051605,,,0.0004901726872050434,,,1.67625,0.28042,1.5045,,,0.0004901726872050434,,1.55694,,0.0004901726872050434,0.5171,,,,,1779984766.0439475,0.61114,,0.50127,,,,,1.6858,,10,,,,1.86436,1.95323,,,,baseline,2024,baseline_seed2024,10
407.879946255,,,0.0004878864877830505,,,1.58976,0.33471,1.48567,,,0.0004878864877830505,,1.53358,,0.0004878864877830505,0.60237,,,,,1779984798.9828374,0.65159,,0.55794,,,,,1.65191,,11,,,,1.57799,1.82305,,,,baseline,2024,baseline_seed2024,11
