train_batch1,train_batch2,metrics/precision(B),train_batch0,metrics/mAP50-95(B),_timestamp,train/dfl_loss,val/dfl_loss,val_batch1_labels,curves/Precision-Confidence(B)_table,model/speed_PyTorch(ms),_runtime,val_batch0_labels,PR_curve,val/cls_loss,curves/F1-Confidence(B)_table,lr/pg2,val_batch2_pred,model/parameters,_step,P_curve,R_curve,confusion_matrix,val/box_loss,metrics/mAP50(B),lr/pg0,train/box_loss,confusion_matrix_normalized,results,metrics/recall(B),val_batch2_labels,lr/pg1,curves/Recall-Confidence(B)_table,val_batch1_pred,labels,F1_curve,model/GFLOPs,curves/Precision-Recall(B)_table,train/cls_loss,val_batch0_pred,variant,seed,run_name,epoch
"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430}","{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920, 'width': 1920}",0.0131,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096}",0.01434,1779989877.1296527,3.43845,3.31747,,,3.441,84.588407897,,,4.58567,,0.00016438356164383562,,43739041.0,1,,,,3.22148,0.04998,0.06728767123287671,3.13318,,,0.26803,,0.00016438356164383562,,,"{'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file'}",,165.592,,3.15926,,cbam,1337,cbam_seed1337,1
,,0.23815,,0.07307,1779989914.2824945,2.72394,2.95696,,,,121.197235422,,,3.27986,,0.0003309693684252292,,,2,,,,2.3051,0.18978,0.034120923706324774,2.31021,,,0.24794,,0.0003309693684252292,,,,,,,2.23814,,cbam,1337,cbam_seed1337,2
,,0.20422,,0.0434,1779989948.9254513,2.40994,3.10208,,,,155.83523519,,,4.0529,,0.0004972307403303534,,,3,,,,2.32037,0.1247,0.0009538517448965528,2.01505,,,0.25044,,0.0004972307403303534,,,,,,,2.05394,,cbam,1337,cbam_seed1337,3
,,0.43477,,0.10509,1779989983.3797643,2.27943,2.72525,,,,190.282323651,,,4.00571,,0.0004989015862392623,,,4,,,,2.06516,0.25832,0.0004989015862392623,1.91073,,,0.25685,,0.0004989015862392623,,,,,,,2.00155,,cbam,1337,cbam_seed1337,4
,,0.31103,,0.14191,1779990017.8322878,2.17687,2.55391,,,,224.638471746,,,3.04216,,0.0004980483885753333,,,5,,,,2.00642,0.3048,0.0004980483885753333,1.81691,,,0.36259,,0.0004980483885753333,,,,,,,1.89008,,cbam,1337,cbam_seed1337,5
,,0.52719,,0.21716,1779990052.3313925,2.13085,2.31859,,,,259.185683685,,,2.26563,,0.0004969528642972965,,,6,,,,1.84464,0.45946,0.0004969528642972965,1.7899,,,0.4461,,0.0004969528642972965,,,,,,,1.8624,,cbam,1337,cbam_seed1337,6
,,0.53027,,0.23075,1779990088.2077973,2.06326,2.32542,,,,295.099848669,,,2.38578,,0.0004956160945553505,,,7,,,,1.79725,0.49622,0.0004956160945553505,1.72199,,,0.51506,,0.0004956160945553505,,,,,,,1.79963,,cbam,1337,cbam_seed1337,7
,,0.48821,,0.18714,1779990122.7131941,2.03062,2.47581,,,,329.617642947,,,2.57421,,0.00049403939857984,,,8,,,,1.86702,0.36144,0.00049403939857984,1.67838,,,0.36829,,0.00049403939857984,,,,,,,1.70953,,cbam,1337,cbam_seed1337,8
,,0.63032,,0.30531,1779990157.2124455,2.0119,2.14922,,,,364.701200279,,,1.70348,,0.0004922243323793363,,,9,,,,1.6606,0.58102,0.0004922243323793363,1.66462,,,0.54535,,0.0004922243323793363,,,,,,,1.65769,,cbam,1337,cbam_seed1337,9
,,0.61017,,0.30629,1779990192.286663,1.97656,2.19452,,,,399.22616919,,,1.61991,,0.0004901726872050434,,,10,,,,1.68597,0.59628,0.0004901726872050434,1.62248,,,0.58161,,0.0004901726872050434,,,,,,,1.60932,,cbam,1337,cbam_seed1337,10
