_runtime,train_batch2,PR_curve,val/dfl_loss,curves/F1-Confidence(B)_table,P_curve,_step,results,lr/pg0,val_batch0_pred,labels,_timestamp,val_batch0_labels,R_curve,train/cls_loss,model/speed_PyTorch(ms),train_batch0,F1_curve,confusion_matrix_normalized,lr/pg1,val_batch2_pred,val_batch2_labels,val/box_loss,model/parameters,train/box_loss,curves/Precision-Confidence(B)_table,model/GFLOPs,metrics/precision(B),val/cls_loss,val_batch1_pred,curves/Precision-Recall(B)_table,train_batch1,metrics/mAP50(B),train/dfl_loss,lr/pg2,curves/Recall-Confidence(B)_table,val_batch1_labels,confusion_matrix,metrics/recall(B),metrics/mAP50-95(B),variant,seed,run_name,epoch
81.942816666,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341}",,3.40255,,,1,,0.06728767123287671,,"{'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600}",1779987371.6465013,,,3.24117,3.424,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096}",,,0.00016438356164383562,,,3.17241,43739041.0,3.09592,,165.592,0.11966,4.66994,,,"{'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg'}",0.07323,3.46622,0.00016438356164383562,,,,0.06982,0.02697,cbam,42,cbam_seed42,1
118.139838876,,,3.20424,,,2,,0.034120923706324774,,,1779987408.4554799,,,2.24871,,,,,0.0003309693684252292,,,2.58919,,2.23749,,,0.09341,5.15112,,,,0.02977,2.70149,0.0003309693684252292,,,,0.08874,0.01111,cbam,42,cbam_seed42,2
152.467139897,,,2.85685,,,3,,0.0009538517448965528,,,1779987442.8255675,,,2.03635,,,,,0.0004972307403303534,,,2.22036,,1.98374,,,0.36014,4.38113,,,,0.24857,2.36947,0.0004972307403303534,,,,0.31768,0.08513,cbam,42,cbam_seed42,3
186.94853601,,,2.754,,,4,,0.0004989015862392623,,,1779987477.2859812,,,1.98992,,,,,0.0004989015862392623,,,2.13791,,1.8892,,,0.29249,3.76179,,,,0.25473,2.25525,0.0004989015862392623,,,,0.3205,0.10517,cbam,42,cbam_seed42,4
221.264518304,,,2.51854,,,5,,0.0004980483885753333,,,1779987511.5874226,,,1.89799,,,,,0.0004980483885753333,,,1.93668,,1.81185,,,0.40688,3.08438,,,,0.32228,2.16897,0.0004980483885753333,,,,0.35073,0.15369,cbam,42,cbam_seed42,5
255.527795111,,,2.32918,,,6,,0.0004969528642972965,,,1779987545.8985567,,,1.84457,,,,,0.0004969528642972965,,,1.85423,,1.76389,,,0.52788,1.97906,,,,0.45509,2.11987,0.0004969528642972965,,,,0.42656,0.2221,cbam,42,cbam_seed42,6
289.743033546,,,2.33177,,,7,,0.0004956160945553505,,,1779987580.1176655,,,1.78173,,,,,0.0004956160945553505,,,1.81145,,1.71495,,,0.51451,2.07355,,,,0.48373,2.05998,0.0004956160945553505,,,,0.51001,0.23509,cbam,42,cbam_seed42,7
324.181083251,,,2.31625,,,8,,0.00049403939857984,,,1779987614.4895277,,,1.70372,,,,,0.00049403939857984,,,1.75178,,1.6729,,,0.60441,2.00388,,,,0.53505,2.02437,0.00049403939857984,,,,0.51399,0.26701,cbam,42,cbam_seed42,8
358.431723881,,,2.25399,,,9,,0.0004922243323793363,,,1779987648.763426,,,1.66883,,,,,0.0004922243323793363,,,1.75326,,1.65472,,,0.60749,2.04701,,,,0.48525,2.00742,0.0004922243323793363,,,,0.47461,0.25429,cbam,42,cbam_seed42,9
392.70195847,,,2.31106,,,10,,0.0004901726872050434,,,1779987683.0738404,,,1.61788,,,,,0.0004901726872050434,,,1.81588,,1.62202,,,0.59168,1.66895,,,,0.56298,1.98436,0.0004901726872050434,,,,0.5647,0.28152,cbam,42,cbam_seed42,10
427.091562239,,,2.23277,,,11,,0.0004878864877830505,,,1779987717.3882282,,,1.60644,,,,,0.0004878864877830505,,,1.71729,,1.62563,,,0.59777,1.99992,,,,0.55064,1.96951,0.0004878864877830505,,,,0.52183,0.28342,cbam,42,cbam_seed42,11
