train_batch2,metrics/recall(B),val/dfl_loss,train_batch1,model/GFLOPs,curves/F1-Confidence(B)_table,F1_curve,val/cls_loss,labels,PR_curve,val_batch1_labels,train_batch0,metrics/precision(B),P_curve,R_curve,lr/pg2,confusion_matrix_normalized,curves/Precision-Recall(B)_table,model/speed_PyTorch(ms),lr/pg0,metrics/mAP50-95(B),results,val_batch2_labels,train/dfl_loss,val_batch1_pred,confusion_matrix,val/box_loss,_timestamp,val_batch0_labels,train/box_loss,metrics/mAP50(B),lr/pg1,_runtime,val_batch0_pred,curves/Recall-Confidence(B)_table,val_batch2_pred,model/parameters,_step,train/cls_loss,curves/Precision-Confidence(B)_table,variant,seed,run_name,epoch
"{'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg'}",0.27278,13.59096,"{'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0'}",205.831,,,4.70578,"{'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986}",,,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096, 'height': 1920, 'width': 1920}",0.00247,,,0.00016438356164383562,,,6.045,0.06728767123287671,0.00629,,,14.20989,,,12.00654,1780029019.0349681,,11.85053,0.0253,0.00016438356164383562,114.503169375,,,,42965672.0,1,4.22921,,combined,2024,combined_seed2024,1
,0.14043,12.25809,,,,,3.55396,,,,,0.49548,,,0.0003309693684252292,,,,0.034120923706324774,0.04286,,,11.53991,,,9.23801,1780029072.4817894,,9.1489,0.12392,0.0003309693684252292,166.20282723,,,,,2,2.91455,,combined,2024,combined_seed2024,2
,0.2499,11.34848,,,,,11.02463,,,,,0.26248,,,0.0004972307403303534,,,,0.0009538517448965528,0.07609,,,10.31305,,,8.06784,1780029124.7106154,,8.02874,0.18286,0.0004972307403303534,218.427923816,,,,,3,2.66608,,combined,2024,combined_seed2024,3
,0.22765,11.16082,,,,,15.79183,,,,,0.22037,,,0.0004989015862392623,,,,0.0004989015862392623,0.0588,,,9.76591,,,8.00094,1780029192.1280034,,7.5856,0.15301,0.0004989015862392623,285.857720166,,,,,4,2.56205,,combined,2024,combined_seed2024,4
,0.27686,10.43514,,,,,3.26074,,,,,0.40497,,,0.0004980483885753333,,,,0.0004980483885753333,0.14684,,,9.42811,,,7.31014,1780029244.536478,,7.3171,0.28582,0.0004980483885753333,338.289646666,,,,,5,2.40092,,combined,2024,combined_seed2024,5
,0.37549,9.88195,,,,,2.53162,,,,,0.39197,,,0.0004969528642972965,,,,0.0004969528642972965,0.15528,,,9.25956,,,7.33398,1780029294.9644163,,7.20297,0.32133,0.0004969528642972965,388.714796467,,,,,6,2.35047,,combined,2024,combined_seed2024,6
,0.43479,9.8186,,,,,2.31222,,,,,0.51988,,,0.0004956160945553505,,,,0.0004956160945553505,0.20134,,,9.02919,,,7.02121,1780029345.6638691,,6.98184,0.42817,0.0004956160945553505,439.340468908,,,,,7,2.25313,,combined,2024,combined_seed2024,7
,0.43652,9.70494,,,,,3.27011,,,,,0.43481,,,0.00049403939857984,,,,0.00049403939857984,0.19112,,,8.8345,,,6.9828,1780029397.4936476,,6.80802,0.38092,0.00049403939857984,491.188031116,,,,,8,2.16868,,combined,2024,combined_seed2024,8
,0.47592,9.24657,,,,,2.1374,,,,,0.49352,,,0.0004922243323793363,,,,0.0004922243323793363,0.23751,,,8.77312,,,6.76692,1780029448.655771,,6.72047,0.45936,0.0004922243323793363,542.37211844,,,,,9,2.1053,,combined,2024,combined_seed2024,9
,0.50859,9.33564,,,,,2.00374,,,,,0.54303,,,0.0004901726872050434,,,,0.0004901726872050434,0.25465,,,8.64559,,,6.73283,1780029499.055832,,6.6103,0.50559,0.0004901726872050434,592.721574784,,,,,10,2.04348,,combined,2024,combined_seed2024,10
