model/speed_PyTorch(ms),metrics/recall(B),curves/Precision-Recall(B)_table,results,train_batch6572,_runtime,train_batch2,val_batch2_labels,train_batch6570,curves/Recall-Confidence(B)_table,train_batch0,PR_curve,P_curve,val/cls_loss,metrics/mAP50(B),metrics/precision(B),train/dfl_loss,confusion_matrix_normalized,model/GFLOPs,metrics/mAP50-95(B),labels,train_batch1,R_curve,val_batch1_labels,confusion_matrix,F1_curve,_timestamp,train/cls_loss,_step,val_batch1_pred,val_batch0_pred,val/dfl_loss,model/parameters,train/box_loss,lr/pg1,val_batch2_pred,curves/Precision-Confidence(B)_table,val_batch0_labels,lr/pg2,train_batch6571,lr/pg0,val/box_loss,curves/F1-Confidence(B)_table,variant,seed,run_name,epoch
5.102,0.28539,,,,117.381507361,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920, 'width': 1920}",,,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096}",,,4.70741,0.00704,0.00251,14.13988,,205.831,0.0018,"{'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file'}","{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920}",,,,,1780018641.7919478,4.03708,1,,,13.40526,42965672.0,11.8078,0.00016438356164383562,,,,0.00016438356164383562,,0.06728767123287671,12.08784,,combined,42,combined_seed42,1
,0.1247,,,,168.856296879,,,,,,,,9.31247,0.09414,0.46618,11.53841,,,0.03504,,,,,,,1780018693.8103867,2.93461,2,,,11.98772,,9.13181,0.0003309693684252292,,,,0.0003309693684252292,,0.034120923706324774,8.98091,,combined,42,combined_seed42,2
,0.29462,,,,223.61864531,,,,,,,,8.50517,0.18452,0.247,10.42035,,,0.07547,,,,,,,1780018748.7725222,2.72763,3,,,11.09579,,8.07178,0.0004972307403303534,,,,0.0004972307403303534,,0.0009538517448965528,7.65604,,combined,42,combined_seed42,3
,0.30353,,,,275.112055023,,,,,,,,4.83592,0.21713,0.31244,9.8509,,,0.09499,,,,,,,1780018800.0604415,2.56337,4,,,10.65053,,7.65637,0.0004989015862392623,,,,0.0004989015862392623,,0.0004989015862392623,7.72493,,combined,42,combined_seed42,4
,0.42692,,,,327.410172083,,,,,,,,3.68219,0.30218,0.27086,9.4582,,,0.14646,,,,,,,1780018852.5796647,2.43923,5,,,9.94724,,7.30432,0.0004980483885753333,,,,0.0004980483885753333,,0.0004980483885753333,7.10881,,combined,42,combined_seed42,5
,0.3662,,,,379.052135972,,,,,,,,4.02497,0.31054,0.38554,9.31669,,,0.15442,,,,,,,1780018904.0658197,2.36836,6,,,9.8919,,7.19045,0.0004969528642972965,,,,0.0004969528642972965,,0.0004969528642972965,7.0449,,combined,42,combined_seed42,6
,0.33797,,,,429.701946789,,,,,,,,2.42176,0.34119,0.43608,9.03503,,,0.17018,,,,,,,1780018955.0116575,2.24599,7,,,10.30633,,6.92579,0.0004956160945553505,,,,0.0004956160945553505,,0.0004956160945553505,7.59255,,combined,42,combined_seed42,7
,0.40914,,,,485.197273374,,,,,,,,2.25831,0.42389,0.51387,8.87472,,,0.19803,,,,,,,1780019005.4337783,2.17095,8,,,10.04898,,6.79616,0.00049403939857984,,,,0.00049403939857984,,0.00049403939857984,7.21192,,combined,42,combined_seed42,8
,0.42858,,,,536.810726287,,,,,,,,3.07383,0.37723,0.44233,8.80622,,,0.20061,,,,,,,1780019061.7068899,2.14495,9,,,9.19913,,6.71128,0.0004922243323793363,,,,0.0004922243323793363,,0.0004922243323793363,6.58781,,combined,42,combined_seed42,9
,0.45009,,,,588.673040735,,,,,,,,2.17529,0.44599,0.52575,8.65524,,,0.23199,,,,,,,1780019113.6089108,2.06302,10,,,9.39097,,6.55284,0.0004901726872050434,,,,0.0004901726872050434,,0.0004901726872050434,6.75467,,combined,42,combined_seed42,10
