train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096, 'height': 1920, 'width': 1920}",1,,0.00127,1780034637.7788448,,"{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_c4d348087f55ea30f12d.jpg', 'sha256': 'c4d348087f55ea30f12dc082db1dc7db0335ea00616105450af48ade7565ffcf', 'size': 794819, 'height': 1920}",,,3.54904,0.00124,,,"{'sha256': 'fd4916e6a0ab7da8e3d09898f7c473f8b67018424dcf8709fbc07efd04c30603', 'size': 699279, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_fd4916e6a0ab7da8e3d0.jpg'}",3.71394,,3011433.0,"{'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82'}",,54.446358627,0.0,4.22229,0.06772972972972974,3.34919,0.00016216216216216218,,,3.45335,,,,,,0.00016216216216216218,,3.34411,0.2079,,,0.00039,,0.713,,distill,1337,distill_seed1337,1
,2,,0.00261,1780034662.2659469,,,,,Infinity,0.33636,,,,3.23665,,,,,79.042463635,,3.6711,0.03456298274576043,3.44176,0.00032874851152619696,,,3.30808,,,,,,0.00032874851152619696,,3.42712,0.09299,,,0.00067,,,,distill,1337,distill_seed1337,2
,3,,0.01798,1780034681.8123195,,,,,Infinity,0.02092,,,,2.98661,,,,,98.342214996,,3.35529,0.0013959124115446864,3.61917,0.000495011510643781,,,2.87233,,,,,,0.000495011510643781,,2.99828,0.20505,,,0.00466,,,,distill,1337,distill_seed1337,3
,4,,0.06012,1780034697.8023667,,,,,4.85658,0.07475,,,,2.74078,,,,,114.100095514,,3.08103,0.0004989015862392623,2.95732,0.0004989015862392623,,,2.54708,,,,,,0.0004989015862392623,,2.50149,0.22654,,,0.0238,,,,distill,1337,distill_seed1337,4
,5,,0.14937,1780034712.494052,,,,,3.14915,0.32371,,,,2.56291,,,,,129.059582762,,2.88189,0.0004980483885753333,2.81903,0.0004980483885753333,,,2.35458,,,,,,0.0004980483885753333,,2.44044,0.19373,,,0.05078,,,,distill,1337,distill_seed1337,5
,6,,0.23356,1780034727.8653367,,,,,2.71234,0.3583,,,,2.43751,,,,,144.353016296,,2.68298,0.0004969528642972965,2.57775,0.0004969528642972965,,,2.21661,,,,,,0.0004969528642972965,,2.22767,0.28501,,,0.09484,,,,distill,1337,distill_seed1337,6
,7,,0.29209,1780034742.3612194,,,,,2.57838,0.40931,,,,2.36086,,,,,158.910351467,,2.53182,0.0004956160945553505,2.55746,0.0004956160945553505,,,2.12995,,,,,,0.0004956160945553505,,2.12704,0.31992,,,0.12392,,,,distill,1337,distill_seed1337,7
,8,,0.28057,1780034757.172593,,,,,2.72248,0.37911,,,,2.29621,,,,,173.677481374,,2.45241,0.00049403939857984,2.47388,0.00049403939857984,,,2.04903,,,,,,0.00049403939857984,,2.11862,0.33102,,,0.11019,,,,distill,1337,distill_seed1337,8
,9,,0.28392,1780034772.8552957,,,,,2.41102,0.38064,,,,2.24176,,,,,189.335940533,,2.36813,0.0004922243323793363,2.46405,0.0004922243323793363,,,1.99191,,,,,,0.0004922243323793363,,2.15854,0.34748,,,0.11683,,,,distill,1337,distill_seed1337,9
,10,,0.36263,1780034787.437063,,,,,2.24983,0.47303,,,,2.19081,,,,,204.820538496,,2.24681,0.0004901726872050434,2.35683,0.0004901726872050434,,,1.96323,,,,,,0.0004901726872050434,,2.0084,0.38468,,,0.16768,,,,distill,1337,distill_seed1337,10
