results,curves/Precision-Recall(B)_table,_step,PR_curve,_runtime,train_batch3330,val_batch1_labels,val_batch0_pred,lr/pg2,metrics/recall(B),train/dfl_loss,P_curve,val/box_loss,train_batch0,curves/F1-Confidence(B)_table,val_batch2_labels,train_batch3331,train/box_loss,metrics/mAP50(B),model/GFLOPs,val/dfl_loss,model/speed_PyTorch(ms),lr/pg1,labels,R_curve,model/parameters,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),train_batch1,F1_curve,val/cls_loss,train_batch3332,metrics/precision(B),curves/Recall-Confidence(B)_table,train_batch2,val_batch0_labels,confusion_matrix_normalized,train/cls_loss,confusion_matrix,val_batch1_pred,lr/pg0,val_batch2_pred,_timestamp,variant,seed,run_name,epoch
,,1,,52.940233977,,,,0.00016216216216216218,0.19447,3.73125,,3.32205,"{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096, 'height': 1920}",,,,3.45932,0.00123,0.0,3.36324,0.714,0.00016216216216216218,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600}",,3011433.0,,0.00039,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_fd4916e6a0ab7da8e3d0.jpg', 'sha256': 'fd4916e6a0ab7da8e3d09898f7c473f8b67018424dcf8709fbc07efd04c30603', 'size': 699279}",,3.65524,,0.00177,,"{'_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_c4d348087f55ea30f12d.jpg', 'sha256': 'c4d348087f55ea30f12dc082db1dc7db0335ea00616105450af48ade7565ffcf', 'size': 794819, 'height': 1920, 'width': 1920}",,,4.21799,,,0.06772972972972974,,1780036083.0143156,distill,2024,distill_seed2024,1
,,2,,77.086291926,,,,0.00032874851152619696,0.25553,3.24321,,3.31016,,,,,3.31277,0.00259,,3.4894,,0.00032874851152619696,,,,,0.00071,,,16.64371,,0.00246,,,,,3.65161,,,0.03456298274576043,,1780036107.6777003,distill,2024,distill_seed2024,2
,,3,,98.164821613,,,,0.000495011510643781,0.1175,3.00205,,2.93271,,,,,2.89018,0.02366,,3.47842,,0.000495011510643781,,,,,0.00589,,,Infinity,,0.04012,,,,,3.37318,,,0.0013959124115446864,,1780036128.0864015,distill,2024,distill_seed2024,3
,,4,,118.001917238,,,,0.0004989015862392623,0.1876,2.76104,,2.42038,,,,,2.54842,0.1273,,2.90486,,0.0004989015862392623,,,,,0.04229,,,7.32299,,0.20154,,,,,3.11815,,,0.0004989015862392623,,1780036148.5941796,distill,2024,distill_seed2024,4
,,5,,137.161040981,,,,0.0004980483885753333,0.1283,2.5737,,2.53949,,,,,2.35741,0.05638,,2.94579,,0.0004980483885753333,,,,,0.01833,,,3.98834,,0.14165,,,,,2.8938,,,0.0004980483885753333,,1780036165.5770857,distill,2024,distill_seed2024,5
,,6,,153.378397498,,,,0.0004969528642972965,0.26675,2.43893,,2.22464,,,,,2.21429,0.22557,,2.65058,,0.0004969528642972965,,,,,0.08964,,,3.12547,,0.33189,,,,,2.69728,,,0.0004969528642972965,,1780036184.2437131,distill,2024,distill_seed2024,6
,,7,,168.653309111,,,,0.0004956160945553505,0.32255,2.347,,2.1294,,,,,2.12669,0.27723,,2.57127,,0.0004956160945553505,,,,,0.11136,,,2.83795,,0.37146,,,,,2.54977,,,0.0004956160945553505,,1780036199.694369,distill,2024,distill_seed2024,7
,,8,,183.616186195,,,,0.00049403939857984,0.31164,2.28523,,2.15948,,,,,2.04649,0.28634,,2.49008,,0.00049403939857984,,,,,0.11965,,,2.51317,,0.3689,,,,,2.47518,,,0.00049403939857984,,1780036214.7643394,distill,2024,distill_seed2024,8
,,9,,195.419883705,,,,0.0004922243323793363,0.32392,2.24202,,2.19353,,,,,1.99104,0.23411,,2.56871,,0.0004922243323793363,,,,,0.0923,,,2.95795,,0.35105,,,,,2.37285,,,0.0004922243323793363,,1780036226.5918355,distill,2024,distill_seed2024,9
,,10,,210.065202982,,,,0.0004901726872050434,0.37466,2.17598,,2.03701,,,,,1.95383,0.37201,,2.376,,0.0004901726872050434,,,,,0.16636,,,2.26585,,0.46759,,,,,2.27392,,,0.0004901726872050434,,1780036241.0834785,distill,2024,distill_seed2024,10
,,11,,223.638869871,,,,0.0004878864877830505,0.409,2.14969,,1.94298,,,,,1.9076,0.42412,,2.32866,,0.0004878864877830505,,,,,0.19478,,,2.13268,,0.49823,,,,,2.23615,,,0.0004878864877830505,,1780036254.8147316,distill,2024,distill_seed2024,11
,,12,,239.45808169,,,,0.0004853679903161708,0.38255,2.13625,,2.02989,,,,,1.89855,0.37991,,2.37047,,0.0004853679903161708,,,,,0.16712,,,2.29546,,0.48588,,,,,2.21106,,,0.0004853679903161708,,1780036267.8824623,distill,2024,distill_seed2024,12
,,13,,253.879746386,,,,0.00048261968025734226,0.4231,2.10288,,1.90564,,,,,1.86809,0.42965,,2.2655,,0.00048261968025734226,,,,,0.20142,,,2.14546,,0.50025,,,,,2.14484,,,0.00048261968025734226,,1780036285.0877292,distill,2024,distill_seed2024,13
