labels,confusion_matrix_normalized,curves/Precision-Recall(B)_table,train/dfl_loss,metrics/mAP50-95(B),train_batch0,train_batch6571,confusion_matrix,PR_curve,lr/pg1,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,curves/Recall-Confidence(B)_table,P_curve,train_batch6572,val_batch0_pred,val/dfl_loss,lr/pg0,results,train_batch6570,_step,train/cls_loss,train/box_loss,metrics/mAP50(B),val_batch2_labels,lr/pg2,val_batch1_pred,train_batch1,val_batch0_labels,val/cls_loss,val/box_loss,_runtime,R_curve,model/parameters,model/GFLOPs,F1_curve,train_batch2,val_batch2_pred,metrics/precision(B),val_batch1_labels,curves/F1-Confidence(B)_table,_timestamp,variant,seed,run_name,epoch
"{'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg'}",,,3.52381,0.04606,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096}",,,,0.00016438356164383562,0.1456,6.428,,,,,,3.26814,0.06728767123287671,,,1,3.34813,2.85871,0.13875,,0.00016438356164383562,,"{'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file'}",,3.53449,2.55036,111.052119335,,42848348.0,205.617,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341}",,0.34329,,,1779999732.0022755,p2,1337,p2_seed1337,1
,,,2.90886,0.05129,,,,,0.0003309693684252292,0.34102,,,,,,,3.10286,0.034120923706324774,,,2,2.40514,2.19631,0.12109,,0.0003309693684252292,,,,6.04531,2.17937,159.269842484,,,,,,,0.13576,,,1779999780.9063463,p2,1337,p2_seed1337,2
,,,2.62673,0.10744,,,,,0.0004972307403303534,0.33538,,,,,,,2.82372,0.0009538517448965528,,,3,2.20076,1.96656,0.25393,,0.0004972307403303534,,,,4.78293,1.90862,207.199070171,,,,,,,0.34725,,,1779999829.1411846,p2,1337,p2_seed1337,3
,,,2.46991,0.1342,,,,,0.0004989015862392623,0.36895,,,,,,,2.8298,0.0004989015862392623,,,4,2.13728,1.85111,0.30538,,0.0004989015862392623,,,,3.75179,1.96093,257.440079239,,,,,,,0.36615,,,1779999877.2965975,p2,1337,p2_seed1337,4
,,,2.38861,0.12862,,,,,0.0004980483885753333,0.30464,,,,,,,2.90167,0.0004980483885753333,,,5,2.0623,1.80952,0.29122,,0.0004980483885753333,,,,2.72993,2.01323,306.450972628,,,,,,,0.39564,,,1779999928.2745605,p2,1337,p2_seed1337,5
,,,2.32318,0.24385,,,,,0.0004969528642972965,0.46896,,,,,,,2.43821,0.0004969528642972965,,,6,2.0072,1.7484,0.48003,,0.0004969528642972965,,,,2.8509,1.71509,354.757649963,,,,,,,0.55088,,,1779999976.4700851,p2,1337,p2_seed1337,6
,,,2.27283,0.25226,,,,,0.0004956160945553505,0.50773,,,,,,,2.48605,0.0004956160945553505,,,7,1.91686,1.70652,0.52527,,0.0004956160945553505,,,,2.09891,1.73209,403.165449602,,,,,,,0.58318,,,1780000024.6869118,p2,1337,p2_seed1337,7
,,,2.2248,0.23443,,,,,0.00049403939857984,0.47384,,,,,,,2.55805,0.00049403939857984,,,8,1.85963,1.66569,0.47565,,0.00049403939857984,,,,2.23117,1.79806,451.081112107,,,,,,,0.55901,,,1780000072.8753853,p2,1337,p2_seed1337,8
,,,2.2099,0.29414,,,,,0.0004922243323793363,0.52109,,,,,,,2.31803,0.0004922243323793363,,,9,1.80763,1.64296,0.55895,,0.0004922243323793363,,,,1.9309,1.6241,500.521204175,,,,,,,0.62407,,,1780000120.715443,p2,1337,p2_seed1337,9
,,,2.16304,0.29537,,,,,0.0004901726872050434,0.51146,,,,,,,2.32083,0.0004901726872050434,,,10,1.74652,1.60344,0.55568,,0.0004901726872050434,,,,1.83984,1.65301,549.789911454,,,,,,,0.63177,,,1780000170.0933268,p2,1337,p2_seed1337,10
