train_batch2,curves/F1-Confidence(B)_table,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),val_batch2_labels,results,val_batch0_pred,curves/Recall-Confidence(B)_table,model/parameters,labels,train/dfl_loss,val/dfl_loss,confusion_matrix_normalized,train_batch6571,lr/pg0,metrics/recall(B),metrics/precision(B),P_curve,train_batch0,val/cls_loss,R_curve,val_batch1_pred,val_batch0_labels,model/GFLOPs,metrics/mAP50(B),val/box_loss,F1_curve,train_batch1,val_batch2_pred,train_batch6572,_step,train/cls_loss,_runtime,_timestamp,confusion_matrix,lr/pg2,model/speed_PyTorch(ms),lr/pg1,PR_curve,train_batch6570,curves/Precision-Recall(B)_table,train/box_loss,val_batch1_labels,variant,seed,run_name,epoch
"{'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341, 'height': 1920}",,,0.07176,,,,,43632153.0,"{'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82', 'size': 284986, 'height': 1600}",7.59456,10.29225,,,0.06728767123287671,0.23016,0.29052,,"{'size': 805096, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354'}",8.16039,,,,165.412,0.15539,8.41413,,"{'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430, 'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg'}",,,1,2.71711,80.84000907,1780015154.6543224,,0.00016438356164383562,3.763,0.00016438356164383562,,,,6.88813,,sizeaware,2024,sizeaware_seed2024,1
,,,0.09271,,,,,,,7.48575,9.16698,,,0.034120923706324774,0.29814,0.23857,,,5.43404,,,,,0.19769,7.5085,,,,,2,2.25092,115.593257856,1780015189.5871472,,0.0003309693684252292,,0.0003309693684252292,,,,6.8102,,sizeaware,2024,sizeaware_seed2024,2
,,,0.09024,,,,,,,7.35908,10.36939,,,0.0009538517448965528,0.35175,0.29801,,,3.33038,,,,,0.23318,8.24111,,,,,3,2.14366,149.659911667,1780015223.9624033,,0.0004972307403303534,,0.0004972307403303534,,,,6.72984,,sizeaware,2024,sizeaware_seed2024,3
,,,0.08824,,,,,,,7.36078,9.44401,,,0.0004989015862392623,0.27277,0.28462,,,4.15779,,,,,0.20472,7.9872,,,,,4,2.12408,183.797134656,1780015258.0367298,,0.0004989015862392623,,0.0004989015862392623,,,,6.72255,,sizeaware,2024,sizeaware_seed2024,4
,,,0.18112,,,,,,,7.25432,8.55334,,,0.0004980483885753333,0.41572,0.44417,,,2.59668,,,,,0.37864,7.17916,,,,,5,2.08836,220.104881606,1780015294.0381765,,0.0004980483885753333,,0.0004980483885753333,,,,6.60802,,sizeaware,2024,sizeaware_seed2024,5
,,,0.22285,,,,,,,7.10736,8.19392,,,0.0004969528642972965,0.46872,0.49969,,,2.23121,,,,,0.44856,6.96418,,,,,6,1.99661,254.356596401,1780015328.5549588,,0.0004969528642972965,,0.0004969528642972965,,,,6.48435,,sizeaware,2024,sizeaware_seed2024,6
,,,0.1517,,,,,,,6.99997,8.47141,,,0.0004956160945553505,0.39378,0.41745,,,2.53784,,,,,0.31054,7.33758,,,,,7,1.96207,288.106438334,1780015362.4636457,,0.0004956160945553505,,0.0004956160945553505,,,,6.4021,,sizeaware,2024,sizeaware_seed2024,7
,,,0.20714,,,,,,,6.93128,7.93145,,,0.00049403939857984,0.44372,0.44535,,,2.28017,,,,,0.40985,6.81589,,,,,8,1.88031,322.239856291,1780015396.4568453,,0.00049403939857984,,0.00049403939857984,,,,6.27493,,sizeaware,2024,sizeaware_seed2024,8
,,,0.2706,,,,,,,6.82983,7.71132,,,0.0004922243323793363,0.48859,0.59041,,,2.42059,,,,,0.50967,6.59363,,,,,9,1.82504,356.047128569,1780015430.6033754,,0.0004922243323793363,,0.0004922243323793363,,,,6.17844,,sizeaware,2024,sizeaware_seed2024,9
,,,0.24738,,,,,,,6.87916,7.88112,,,0.0004901726872050434,0.47589,0.51686,,,1.93484,,,,,0.45876,6.69744,,,,,10,1.77559,389.620549823,1780015464.0935729,,0.0004901726872050434,,0.0004901726872050434,,,,6.10864,,sizeaware,2024,sizeaware_seed2024,10
,,,0.2603,,,,,,,6.73647,7.79579,,,0.0004878864877830505,0.50346,0.5214,,,1.96624,,,,,0.48569,6.73654,,,,,11,1.75947,424.820858085,1780015497.7335248,,0.0004878864877830505,,0.0004878864877830505,,,,6.05288,,sizeaware,2024,sizeaware_seed2024,11
,,,0.27576,,,,,,,6.69958,7.76666,,,0.0004853679903161708,0.50494,0.56793,,,1.76904,,,,,0.51083,6.65736,,,,,12,1.71799,458.43516831,1780015533.028971,,0.0004853679903161708,,0.0004853679903161708,,,,6.00034,,sizeaware,2024,sizeaware_seed2024,12
,,,0.28527,,,,,,,6.71454,7.6549,,,0.00048261968025734226,0.50637,0.60074,,,1.77665,,,,,0.52398,6.47227,,,,,13,1.67504,491.95896178,1780015566.563877,,0.00048261968025734226,,0.00048261968025734226,,,,6.01655,,sizeaware,2024,sizeaware_seed2024,13
,,,0.29661,,,,,,,6.62795,7.3265,,,0.00047964426985678535,0.53877,0.57445,,,2.02681,,,,,0.54433,6.29801,,,,,14,1.6541,525.565603873,1780015600.230878,,0.00047964426985678535,,0.00047964426985678535,,,,5.93365,,sizeaware,2024,sizeaware_seed2024,14
,,,0.28408,,,,,,,6.5519,7.81961,,,0.00047644469548533986,0.47893,0.58751,,,1.80686,,,,,0.51488,6.58103,,,,,15,1.62123,558.898085193,1780015633.539665,,0.00047644469548533986,,0.00047644469548533986,,,,5.80629,,sizeaware,2024,sizeaware_seed2024,15
,,,0.29746,,,,,,,6.54152,7.49998,,,0.00047302411473662103,0.48971,0.61833,,,1.72747,,,,,0.52823,6.38865,,,,,16,1.61425,594.223608993,1780015668.7694662,,0.00047302411473662103,,0.00047302411473662103,,,,5.71866,,sizeaware,2024,sizeaware_seed2024,16
,,,0.31995,,,,,,,6.54521,7.4034,,,0.00046938590331085624,0.56807,0.62191,,,1.58685,,,,,0.57956,6.28981,,,,,17,1.595,628.488451528,1780015702.3474572,,0.00046938590331085624,,0.00046938590331085624,,,,5.7801,,sizeaware,2024,sizeaware_seed2024,17
,,,0.25836,,,,,,,6.51566,7.81699,,,0.0004655336516834761,0.46076,0.55754,,,2.04855,,,,,0.4713,6.65352,,,,,18,1.58968,662.049168707,1780015736.6860352,,0.0004655336516834761,,0.0004655336516834761,,,,5.77165,,sizeaware,2024,sizeaware_seed2024,18
,,,0.28894,,,,,,,6.52095,7.35656,,,0.0004614711615617487,0.5284,0.55554,,,1.76129,,,,,0.52102,6.26671,,,,,19,1.55753,695.410462457,1780015770.1367064,,0.0004614711615617487,,0.0004614711615617487,,,,5.68002,,sizeaware,2024,sizeaware_seed2024,19
,,,0.32242,,,,,,,6.4645,7.24441,,,0.00045720244213295403,0.53599,0.61777,,,1.57578,,,,,0.57251,6.12717,,,,,20,1.53737,728.884035121,1780015803.4886186,,0.00045720244213295403,,0.00045720244213295403,,,,5.61723,,sizeaware,2024,sizeaware_seed2024,20
,,,0.31997,,,,,,,6.42377,7.42478,,,0.0004527317061077995,0.56364,0.62371,,,1.60622,,,,,0.58863,6.31704,,,,,21,1.5103,762.774732489,1780015837.0213833,,0.0004527317061077995,,0.0004527317061077995,,,,5.63358,,sizeaware,2024,sizeaware_seed2024,21
,,,0.34703,,,,,,,6.45551,7.14453,,,0.0004480633655629834,0.5767,0.63728,,,1.59217,,,,,0.61391,5.99225,,,,,22,1.48895,799.917254973,1780015871.6212254,,0.0004480633655629834,,0.0004480633655629834,,,,5.61255,,sizeaware,2024,sizeaware_seed2024,22
,,,0.35662,,,,,,,6.33635,7.12502,,,0.00044320202758700784,0.55678,0.66519,,,1.46471,,,,,0.61718,5.99654,,,,,23,1.48358,836.988387719,1780015908.8411152,,0.00044320202758700784,,0.00044320202758700784,,,,5.47552,,sizeaware,2024,sizeaware_seed2024,23
,,,0.33772,,,,,,,6.30747,7.37302,,,0.0004381524897335388,0.57316,0.60965,,,1.56987,,,,,0.59432,6.2249,,,,,24,1.45289,871.116538105,1780015945.7829342,,0.0004381524897335388,,0.0004381524897335388,,,,5.47365,,sizeaware,2024,sizeaware_seed2024,24
,,,0.34598,,,,,,,6.33483,7.28432,,,0.0004329197352867994,0.56745,0.64588,,,1.68383,,,,,0.61112,6.10227,,,,,25,1.45274,904.811290927,1780015979.317826,,0.0004329197352867994,,0.0004329197352867994,,,,5.46427,,sizeaware,2024,sizeaware_seed2024,25
,,,0.35278,,,,,,,6.29275,7.1267,,,0.0004275089283436705,0.59943,0.62952,,,1.46607,,,,,0.62449,6.07143,,,,,26,1.43362,938.094900274,1780016012.8673756,,0.0004275089283436705,,0.0004275089283436705,,,,5.44211,,sizeaware,2024,sizeaware_seed2024,26
,,,0.36879,,,,,,,6.23991,7.026,,,0.0004219254087173504,0.61528,0.60681,,,1.4478,,,,,0.62709,5.93638,,,,,27,1.38895,971.352004361,1780016046.1289163,,0.0004219254087173504,,0.0004219254087173504,,,,5.34717,,sizeaware,2024,sizeaware_seed2024,27
,,,0.35701,,,,,,,6.20675,7.08027,,,0.0004161746866676038,0.54956,0.69162,,,1.47603,,,,,0.61918,6.00202,,,,,28,1.38434,1006.295942419,1780016081.114369,,0.0004161746866676038,,0.0004161746866676038,,,,5.38102,,sizeaware,2024,sizeaware_seed2024,28
,,,0.36598,,,,,,,6.18816,7.0328,,,0.00041026243746280074,0.59926,0.63008,,,1.39388,,,,,0.62757,5.92959,,,,,29,1.36143,1039.891897871,1780016114.4326327,,0.00041026243746280074,,0.00041026243746280074,,,,5.32871,,sizeaware,2024,sizeaware_seed2024,29
,,,0.36104,,,,,,,6.15237,7.06296,,,0.0004041944957791117,0.59339,0.64804,,,1.46641,,,,,0.63419,5.97519,,,,,30,1.36969,1073.476693915,1780016148.026198,,0.0004041944957791117,,0.0004041944957791117,,,,5.29516,,sizeaware,2024,sizeaware_seed2024,30
,,,0.37125,,,,,,,6.10943,6.9423,,,0.00039797684994238717,0.58564,0.64327,,,1.37939,,,,,0.62272,5.86128,,,,,31,1.33705,1106.720009156,1780016181.6001294,,0.00039797684994238717,,0.00039797684994238717,,,,5.2258,,sizeaware,2024,sizeaware_seed2024,31
,,,0.36303,,,,,,,6.06519,7.03049,,,0.00039161563601840233,0.58695,0.64553,,,1.45469,,,,,0.62125,5.89564,,,,,32,1.31757,1140.229447142,1780016214.8524125,,0.00039161563601840233,,0.00039161563601840233,,,,5.16984,,sizeaware,2024,sizeaware_seed2024,32
,,,0.38677,,,,,,,6.0926,7.09113,,,0.00038511713175730166,0.59132,0.6908,,,1.36535,,,,,0.6572,5.86546,,,,,33,1.31634,1174.024579294,1780016248.3711622,,0.00038511713175730166,,0.00038511713175730166,,,,5.19003,,sizeaware,2024,sizeaware_seed2024,33
,,,0.37773,,,,,,,6.08156,6.97722,,,0.00037848775039821687,0.62743,0.64978,,,1.40438,,,,,0.65238,5.8631,,,,,34,1.30383,1209.781209159,1780016284.3729334,,0.00037848775039821687,,0.00037848775039821687,,,,5.15855,,sizeaware,2024,sizeaware_seed2024,34
,,,0.39521,,,,,,,6.04904,7.05525,,,0.0003717340343401745,0.60746,0.70123,,,1.2899,,,,,0.67087,5.8676,,,,,35,1.27942,1243.238870047,1780016317.905109,,0.0003717340343401745,,0.0003717340343401745,,,,5.12961,,sizeaware,2024,sizeaware_seed2024,35
,,,0.36617,,,,,,,6.04676,7.09633,,,0.0003648626486855379,0.60279,0.61432,,,1.43005,,,,,0.62783,5.98581,,,,,36,1.26284,1276.977506396,1780016351.319981,,0.0003648626486855379,,0.0003648626486855379,,,,5.09783,,sizeaware,2024,sizeaware_seed2024,36
,,,0.3854,,,,,,,5.9684,7.112,,,0.00035788037466235543,0.62088,0.67462,,,1.31916,,,,,0.67261,5.96029,,,,,37,1.26283,1310.013144144,1780016384.9796104,,0.00035788037466235543,,0.00035788037466235543,,,,4.99573,,sizeaware,2024,sizeaware_seed2024,37
,,,0.39322,,,,,,,5.90754,6.94037,,,0.0003507941029321082,0.61099,0.68813,,,1.32062,,,,,0.66065,5.80154,,,,,38,1.24221,1342.972618657,1780016417.9424953,,0.0003507941029321082,,0.0003507941029321082,,,,4.95113,,sizeaware,2024,sizeaware_seed2024,38
,,,0.39543,,,,,,,5.94507,6.94046,,,0.00034361082678945786,0.59125,0.7294,,,1.28303,,,,,0.66396,5.83971,,,,,39,1.22369,1377.79235757,1780016452.7113836,,0.00034361082678945786,,0.00034361082678945786,,,,4.98278,,sizeaware,2024,sizeaware_seed2024,39
,,,0.39726,,,,,,,5.89412,7.01136,,,0.0003363376352607096,0.62622,0.67589,,,1.28469,,,,,0.67033,5.87616,,,,,40,1.22465,1411.027612975,1780016485.8816118,,0.0003363376352607096,,0.0003363376352607096,,,,4.89677,,sizeaware,2024,sizeaware_seed2024,40
