results,val/dfl_loss,curves/Recall-Confidence(B)_table,train_batch6570,F1_curve,curves/Precision-Confidence(B)_table,val_batch1_pred,metrics/mAP50-95(B),train/cls_loss,model/GFLOPs,train_batch6572,P_curve,lr/pg1,PR_curve,train_batch1,val/cls_loss,val_batch0_pred,metrics/precision(B),lr/pg2,R_curve,_step,_runtime,curves/Precision-Recall(B)_table,metrics/recall(B),labels,train/box_loss,train_batch0,train/dfl_loss,confusion_matrix,val_batch1_labels,val_batch2_labels,_timestamp,train_batch2,model/speed_PyTorch(ms),confusion_matrix_normalized,val_batch2_pred,metrics/mAP50(B),model/parameters,lr/pg0,val_batch0_labels,curves/F1-Confidence(B)_table,val/box_loss,train_batch6571,variant,seed,run_name,epoch
,9.72016,,,,,,0.08999,2.73792,165.412,,,0.00016438356164383562,,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch1_1_7abd9c3874d6005c0f75.jpg', 'sha256': '7abd9c3874d6005c0f7577d8a0fa5c63f1bbfaa708a496a31e34fb56990afcd0', 'size': 693430}",7.20124,,0.16535,0.00016438356164383562,,1,81.801408937,,0.41546,"{'size': 284986, 'height': 1600, 'width': 1600, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/labels_1_05386a04f4815dd2ac4b.jpg', 'sha256': '05386a04f4815dd2ac4b2af8d144ee94ed4b7e0bf2a6db1744f5a74654eb4a82'}",6.85401,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch0_1_7cb9fffed33abd96c07a.jpg', 'sha256': '7cb9fffed33abd96c07afdfd9dd9ec8636b0249a3264198b52db06f51df5e354', 'size': 805096}",7.49138,,,,1780008885.048962,"{'height': 1920, 'width': 1920, '_type': 'image-file', 'format': 'jpg', 'path': 'media/images/train_batch2_1_d3523ead8cb982d65fd8.jpg', 'sha256': 'd3523ead8cb982d65fd8bb55694a6c6e3797e8baa183ce0aa72e66920d80ca88', 'size': 700341}",3.196,,,0.19618,43632153.0,0.06728767123287671,,,7.77363,,sizeaware,42,sizeaware_seed42,1
,9.40055,,,,,,0.09953,2.23984,,,,0.0003309693684252292,,,11.40506,,0.29087,0.0003309693684252292,,2,116.712640792,,0.26359,,6.87641,,7.39334,,,,1780008921.0168278,,,,,0.22309,,0.034120923706324774,,,7.49944,,sizeaware,42,sizeaware_seed42,2
,9.84426,,,,,,0.05533,2.16765,,,,0.0004972307403303534,,,14.77122,,0.17694,0.0004972307403303534,,3,152.520543771,,0.33468,,6.78242,,7.347,,,,1780008957.3371751,,,,,0.13611,,0.0009538517448965528,,,7.98715,,sizeaware,42,sizeaware_seed42,3
,9.50395,,,,,,0.1161,2.11606,,,,0.0004989015862392623,,,5.91307,,0.3223,0.0004989015862392623,,4,187.17275167,,0.30976,,6.7037,,7.27285,,,,1780008991.6498144,,,,,0.25697,,0.0004989015862392623,,,7.7424,,sizeaware,42,sizeaware_seed42,4
,8.82156,,,,,,0.14728,2.08521,,,,0.0004980483885753333,,,2.99309,,0.41261,0.0004980483885753333,,5,220.844791325,,0.36136,,6.62745,,7.23729,,,,1780009025.7322183,,,,,0.30538,,0.0004980483885753333,,,7.63147,,sizeaware,42,sizeaware_seed42,5
,8.32774,,,,,,0.20907,1.97793,,,,0.0004969528642972965,,,2.25439,,0.48149,0.0004969528642972965,,6,254.651292605,,0.45334,,6.48408,,7.08449,,,,1780009059.2741642,,,,,0.43033,,0.0004969528642972965,,,7.18961,,sizeaware,42,sizeaware_seed42,6
,8.64101,,,,,,0.20166,1.93642,,,,0.0004956160945553505,,,2.16389,,0.47402,0.0004956160945553505,,7,287.918502333,,0.4359,,6.38307,,6.99092,,,,1780009092.9670248,,,,,0.40597,,0.0004956160945553505,,,7.16786,,sizeaware,42,sizeaware_seed42,7
,7.56439,,,,,,0.26458,1.86572,,,,0.00049403939857984,,,1.89989,,0.60008,0.00049403939857984,,8,321.282042465,,0.49284,,6.27677,,6.91347,,,,1780009126.3702347,,,,,0.50059,,0.00049403939857984,,,6.47495,,sizeaware,42,sizeaware_seed42,8
,8.56455,,,,,,0.18191,1.82165,,,,0.0004922243323793363,,,2.38124,,0.43228,0.0004922243323793363,,9,354.518047567,,0.36467,,6.15833,,6.86746,,,,1780009159.5262754,,,,,0.34541,,0.0004922243323793363,,,7.19583,,sizeaware,42,sizeaware_seed42,9
,7.52955,,,,,,0.27791,1.76937,,,,0.0004901726872050434,,,1.76311,,0.59746,0.0004901726872050434,,10,387.952449261,,0.50671,,6.13779,,6.87478,,,,1780009192.9134195,,,,,0.52606,,0.0004901726872050434,,,6.38052,,sizeaware,42,sizeaware_seed42,10
,7.4311,,,,,,0.30096,1.79572,,,,0.0004878864877830505,,,1.73215,,0.58489,0.0004878864877830505,,11,421.601351268,,0.52845,,6.09828,,6.7749,,,,1780009226.345124,,,,,0.54389,,0.0004878864877830505,,,6.32706,,sizeaware,42,sizeaware_seed42,11
,7.42692,,,,,,0.30431,1.73225,,,,0.0004853679903161708,,,1.71851,,0.59706,0.0004853679903161708,,12,455.645238701,,0.5476,,6.03282,,6.74829,,,,1780009260.07724,,,,,0.55827,,0.0004853679903161708,,,6.25024,,sizeaware,42,sizeaware_seed42,12
,7.85353,,,,,,0.26058,1.68068,,,,0.00048261968025734226,,,1.90704,,0.55876,0.00048261968025734226,,13,489.720544575,,0.49321,,6.00672,,6.68312,,,,1780009294.083314,,,,,0.49791,,0.00048261968025734226,,,6.70589,,sizeaware,42,sizeaware_seed42,13
,7.54084,,,,,,0.30162,1.66759,,,,0.00047964426985678535,,,1.75906,,0.58878,0.00047964426985678535,,14,523.394002222,,0.55317,,5.9219,,6.61435,,,,1780009328.0811296,,,,,0.55477,,0.00047964426985678535,,,6.46193,,sizeaware,42,sizeaware_seed42,14
,7.4331,,,,,,0.31787,1.63727,,,,0.00047644469548533986,,,1.67089,,0.6159,0.00047644469548533986,,15,556.885502141,,0.54265,,5.82466,,6.55688,,,,1780009361.740341,,,,,0.57027,,0.00047644469548533986,,,6.3181,,sizeaware,42,sizeaware_seed42,15
,7.24706,,,,,,0.3346,1.6243,,,,0.00047302411473662103,,,1.57215,,0.64628,0.00047302411473662103,,16,590.676901552,,0.53539,,5.77503,,6.49674,,,,1780009395.2908525,,,,,0.58911,,0.00047302411473662103,,,6.17923,,sizeaware,42,sizeaware_seed42,16
,7.25318,,,,,,0.33131,1.5708,,,,0.00046938590331085624,,,1.61764,,0.62761,0.00046938590331085624,,17,624.513374808,,0.54484,,5.73207,,6.48081,,,,1780009429.211381,,,,,0.59086,,0.00046938590331085624,,,6.08168,,sizeaware,42,sizeaware_seed42,17
,7.33403,,,,,,0.3188,1.59377,,,,0.0004655336516834761,,,1.69487,,0.59318,0.0004655336516834761,,18,661.000745979,,0.55753,,5.72757,,6.4681,,,,1780009463.6718297,,,,,0.56606,,0.0004655336516834761,,,6.22147,,sizeaware,42,sizeaware_seed42,18
,7.35825,,,,,,0.28452,1.55872,,,,0.0004614711615617487,,,1.72197,,0.57201,0.0004614711615617487,,19,697.285161915,,0.54479,,5.71483,,6.46961,,,,1780009500.291123,,,,,0.53131,,0.0004614711615617487,,,6.33011,,sizeaware,42,sizeaware_seed42,19
,7.23071,,,,,,0.33496,1.53007,,,,0.00045720244213295403,,,1.5609,,0.65232,0.00045720244213295403,,20,731.908074683,,0.55629,,5.62345,,6.44711,,,,1780009535.9216223,,,,,0.59228,,0.00045720244213295403,,,6.14194,,sizeaware,42,sizeaware_seed42,20
,7.33068,,,,,,0.34994,1.49625,,,,0.0004527317061077995,,,1.47633,,0.60753,0.0004527317061077995,,21,768.092354093,,0.59661,,5.5698,,6.36072,,,,1780009572.5016065,,,,,0.61829,,0.0004527317061077995,,,6.17895,,sizeaware,42,sizeaware_seed42,21
,7.1827,,,,,,0.35146,1.49169,,,,0.0004480633655629834,,,1.5258,,0.63561,0.0004480633655629834,,22,801.824482926,,0.59057,,5.58057,,6.39619,,,,1780009606.5600157,,,,,0.62202,,0.0004480633655629834,,,6.08739,,sizeaware,42,sizeaware_seed42,22
,7.10635,,,,,,0.33957,1.47069,,,,0.00044320202758700784,,,1.56536,,0.66118,0.00044320202758700784,,23,835.619742861,,0.55618,,5.45154,,6.28508,,,,1780009640.2484183,,,,,0.61595,,0.00044320202758700784,,,6.06952,,sizeaware,42,sizeaware_seed42,23
,7.12091,,,,,,0.36475,1.45924,,,,0.0004381524897335388,,,1.45481,,0.65906,0.0004381524897335388,,24,869.597579119,,0.58638,,5.47497,,6.26463,,,,1780009674.4043727,,,,,0.63613,,0.0004381524897335388,,,5.98373,,sizeaware,42,sizeaware_seed42,24
,7.25202,,,,,,0.35438,1.44026,,,,0.0004329197352867994,,,1.57576,,0.62194,0.0004329197352867994,,25,905.289776784,,0.61083,,5.48809,,6.29114,,,,1780009707.939294,,,,,0.62137,,0.0004329197352867994,,,6.08853,,sizeaware,42,sizeaware_seed42,25
,6.91703,,,,,,0.3751,1.42808,,,,0.0004275089283436705,,,1.42293,,0.69823,0.0004275089283436705,,26,938.898275501,,0.57508,,5.44274,,6.25272,,,,1780009743.9403317,,,,,0.64049,,0.0004275089283436705,,,5.83734,,sizeaware,42,sizeaware_seed42,26
,7.1425,,,,,,0.36719,1.37988,,,,0.0004219254087173504,,,1.44516,,0.66845,0.0004219254087173504,,27,972.422524489,,0.60597,,5.30452,,6.18938,,,,1780009777.4126225,,,,,0.64485,,0.0004219254087173504,,,6.0014,,sizeaware,42,sizeaware_seed42,27
,7.13752,,,,,,0.33421,1.37424,,,,0.0004161746866676038,,,1.51243,,0.62932,0.0004161746866676038,,28,1006.066322827,,0.57422,,5.3588,,6.16138,,,,1780009810.9513202,,,,,0.59952,,0.0004161746866676038,,,6.09392,,sizeaware,42,sizeaware_seed42,28
,7.09338,,,,,,0.36702,1.3691,,,,0.00041026243746280074,,,1.41246,,0.67534,0.00041026243746280074,,29,1039.62135648,,0.58713,,5.3525,,6.14102,,,,1780009844.5412416,,,,,0.62953,,0.00041026243746280074,,,6.03041,,sizeaware,42,sizeaware_seed42,29
,6.94659,,,,,,0.38373,1.34994,,,,0.0004041944957791117,,,1.35371,,0.69038,0.0004041944957791117,,30,1073.453114179,,0.60926,,5.2724,,6.12175,,,,1780009878.2793427,,,,,0.65398,,0.0004041944957791117,,,5.81521,,sizeaware,42,sizeaware_seed42,30
,7.01223,,,,,,0.36718,1.33087,,,,0.00039797684994238717,,,1.41702,,0.64433,0.00039797684994238717,,31,1106.850910524,,0.58686,,5.24609,,6.10563,,,,1780009911.9580953,,,,,0.61854,,0.00039797684994238717,,,5.95609,,sizeaware,42,sizeaware_seed42,31
,6.97587,,,,,,0.38782,1.30772,,,,0.00039161563601840233,,,1.36337,,0.69229,0.00039161563601840233,,32,1140.384305459,,0.61234,,5.20802,,6.08414,,,,1780009945.3350947,,,,,0.66496,,0.00039161563601840233,,,5.89517,,sizeaware,42,sizeaware_seed42,32
,6.95439,,,,,,0.38606,1.31658,,,,0.00038511713175730166,,,1.37039,,0.66201,0.00038511713175730166,,33,1173.822434548,,0.63633,,5.18664,,6.03167,,,,1780009978.9120004,,,,,0.65944,,0.00038511713175730166,,,5.78263,,sizeaware,42,sizeaware_seed42,33
,6.98913,,,,,,0.38337,1.30308,,,,0.00037848775039821687,,,1.33892,,0.68368,0.00037848775039821687,,34,1207.373490199,,0.60148,,5.12202,,6.02753,,,,1780010012.234104,,,,,0.65755,,0.00037848775039821687,,,5.91909,,sizeaware,42,sizeaware_seed42,34
,7.01533,,,,,,0.3864,1.28065,,,,0.0003717340343401745,,,1.30478,,0.69025,0.0003717340343401745,,35,1242.313289086,,0.62146,,5.10101,,5.99274,,,,1780010047.3547215,,,,,0.67046,,0.0003717340343401745,,,5.96041,,sizeaware,42,sizeaware_seed42,35
