severity,kind,image,label_file,line_no,detail
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/65_jpg.rf.26a525cbbf7158ca801b416dd1d6c1f4.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/65_jpg.rf.26a525cbbf7158ca801b416dd1d6c1f4.txt,1,Box covers 91.2% of image (likely a misclick)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/87_png_jpg.rf.08a4a5d645d6531ba73f161466039e64.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/87_png_jpg.rf.08a4a5d645d6531ba73f161466039e64.txt,1,Box covers 92.5% of image (likely a misclick)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/IMG-20240629-WA0016_jpg.rf.5fc3ac1594db228aa4a9fa0693a2fb41.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/IMG-20240629-WA0016_jpg.rf.5fc3ac1594db228aa4a9fa0693a2fb41.txt,1,Box covers 91.6% of image (likely a misclick)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/IMG_0196_JPG_jpg.rf.c33550ef6557001f17ce0a4ab2a73d53.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/IMG_0196_JPG_jpg.rf.c33550ef6557001f17ce0a4ab2a73d53.txt,1,Box covers 93.5% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1007_jpg.rf.7aac90ed7063f73402d8bfed75fc388c.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1007_jpg.rf.7aac90ed7063f73402d8bfed75fc388c.txt,6,Box area = 0.062% (typical for distant objects)
warn,aspect_ratio_outlier,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1030_jpg.rf.9faa986dc8628715d4bbc80b14583f66.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1030_jpg.rf.9faa986dc8628715d4bbc80b14583f66.txt,4,Aspect ratio = 10.3:1 (extremely stretched)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1102_jpg.rf.df44550dbb68a7d11bbb460b900b6c22.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1102_jpg.rf.df44550dbb68a7d11bbb460b900b6c22.txt,10,Box area = 0.084% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1152_jpg.rf.93e6ec842b86645b8a95a8856b42ab88.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1152_jpg.rf.93e6ec842b86645b8a95a8856b42ab88.txt,4,Box area = 0.073% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1271_jpg.rf.9809ac58e3d2347d9da7c69efb050221.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1271_jpg.rf.9809ac58e3d2347d9da7c69efb050221.txt,15,Box area = 0.096% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1314_jpg.rf.5cc7af0962f40104dcbd46025dca0454.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1314_jpg.rf.5cc7af0962f40104dcbd46025dca0454.txt,2,Box covers 90.3% of image (likely a misclick)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1318_jpg.rf.d93c2c9ffa05de1bfb6fb6646e504130.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1318_jpg.rf.d93c2c9ffa05de1bfb6fb6646e504130.txt,1,Box covers 96.5% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1551_jpg.rf.a10b02e4eacfb050b0921f8425551647.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1551_jpg.rf.a10b02e4eacfb050b0921f8425551647.txt,20,Box area = 0.076% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1567_jpg.rf.30badab32de2d9deada1e8708f67acb7.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1567_jpg.rf.30badab32de2d9deada1e8708f67acb7.txt,7,Box area = 0.083% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1603_jpg.rf.deba4b5b1f09c862e429ed8bff222442.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1603_jpg.rf.deba4b5b1f09c862e429ed8bff222442.txt,4,Box area = 0.085% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1701_jpg.rf.26de32aed13c266f3945f994fdc250ba.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1701_jpg.rf.26de32aed13c266f3945f994fdc250ba.txt,22,Box area = 0.099% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1701_jpg.rf.26de32aed13c266f3945f994fdc250ba.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1701_jpg.rf.26de32aed13c266f3945f994fdc250ba.txt,24,Box area = 0.094% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1701_jpg.rf.26de32aed13c266f3945f994fdc250ba.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1701_jpg.rf.26de32aed13c266f3945f994fdc250ba.txt,25,Box area = 0.051% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1743_jpg.rf.c273013d576178b95c2330e7879ef55c.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1743_jpg.rf.c273013d576178b95c2330e7879ef55c.txt,3,Box area = 0.075% (typical for distant objects)
warn,aspect_ratio_outlier,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1748_jpg.rf.1708841febc8852a771b1443da1c9665.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1748_jpg.rf.1708841febc8852a771b1443da1c9665.txt,6,Aspect ratio = 10.6:1 (extremely stretched)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_184_jpg.rf.465a6bf18f82094ab067af7279f77738.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_184_jpg.rf.465a6bf18f82094ab067af7279f77738.txt,16,Box area = 0.078% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_1945_jpg.rf.2a71b379535df703da4f0072ecb0386e.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_1945_jpg.rf.2a71b379535df703da4f0072ecb0386e.txt,2,Box area = 0.092% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_2208_jpg.rf.6246ba738d6976950a612c8ce5cd31b5.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_2208_jpg.rf.6246ba738d6976950a612c8ce5cd31b5.txt,6,Box area = 0.079% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_355_jpg.rf.5bb36a9e8497e0fd2fa71e189c9ccd0e.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_355_jpg.rf.5bb36a9e8497e0fd2fa71e189c9ccd0e.txt,31,Box area = 0.058% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_358_jpg.rf.77753430327d129fda6ca334a561806d.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_358_jpg.rf.77753430327d129fda6ca334a561806d.txt,1,Box covers 99.5% of image (likely a misclick)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_398_jpg.rf.78b48d659039ec6a99b95e6886be7c58.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_398_jpg.rf.78b48d659039ec6a99b95e6886be7c58.txt,20,Box area = 0.097% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_398_jpg.rf.78b48d659039ec6a99b95e6886be7c58.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_398_jpg.rf.78b48d659039ec6a99b95e6886be7c58.txt,22,Box area = 0.089% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_417_jpg.rf.247433c524c22d290c6d584d0566c4b4.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_417_jpg.rf.247433c524c22d290c6d584d0566c4b4.txt,6,Box area = 0.099% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_41_jpg.rf.276e30320c3057b313b13e1212a59642.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_41_jpg.rf.276e30320c3057b313b13e1212a59642.txt,18,Box area = 0.093% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_421_jpg.rf.02945ecbff36722b954d486412c2c2f1.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_421_jpg.rf.02945ecbff36722b954d486412c2c2f1.txt,19,Box area = 0.068% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_421_jpg.rf.02945ecbff36722b954d486412c2c2f1.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_421_jpg.rf.02945ecbff36722b954d486412c2c2f1.txt,25,Box area = 0.051% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_482_jpg.rf.a3145f3077a81c5a7eda44edb630604e.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_482_jpg.rf.a3145f3077a81c5a7eda44edb630604e.txt,9,Box area = 0.069% (typical for distant objects)
info,small_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_482_jpg.rf.a3145f3077a81c5a7eda44edb630604e.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_482_jpg.rf.a3145f3077a81c5a7eda44edb630604e.txt,10,Box area = 0.063% (typical for distant objects)
warn,huge_box,/workspace/data/road_anamolies_yolov8-phref-v6/train/images/Pothole_512_jpg.rf.1a45d1ca3efceea5bfc6a89118e81a7b.jpg,/workspace/data/road_anamolies_yolov8-phref-v6/train/labels/Pothole_512_jpg.rf.1a45d1ca3efceea5bfc6a89118e81a7b.txt,1,Box covers 100.0% of image (likely a misclick)
