epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.1939,1.69284,2.59572,1.85336,0.3639,0.34616,0.27138,0.12757,1.85376,4.89785,2.2857,0.0672877,0.000164384,0.000164384
2,74.7296,1.67871,2.02243,1.82214,0.26346,0.25008,0.17312,0.07606,1.99538,4.84784,2.52471,0.0341209,0.000330969,0.000330969
3,109.024,1.64117,1.89714,1.78916,0.2796,0.27556,0.19815,0.0906,2.03829,3.2225,2.5454,0.000953852,0.000497231,0.000497231
4,142.203,1.62536,1.88444,1.77877,0.4383,0.35763,0.33535,0.15497,1.98346,4.28387,2.40536,0.000498902,0.000498902,0.000498902
5,175.353,1.62992,1.8532,1.78177,0.4599,0.46065,0.42064,0.20211,1.83103,2.43894,2.16244,0.000498048,0.000498048,0.000498048
6,208.89,1.60534,1.77455,1.75374,0.56075,0.50846,0.52072,0.26887,1.75464,1.92417,2.01697,0.000496953,0.000496953,0.000496953
7,242.264,1.56743,1.70489,1.70994,0.58553,0.50651,0.52412,0.26846,1.65616,2.19925,1.98522,0.000495616,0.000495616,0.000495616
8,275.082,1.53177,1.64331,1.70223,0.62418,0.52058,0.54377,0.29054,1.63525,1.7575,1.91794,0.000494039,0.000494039,0.000494039
9,307.955,1.51486,1.6084,1.68471,0.62121,0.56949,0.58545,0.3215,1.60123,1.74265,1.90191,0.000492224,0.000492224,0.000492224
10,340.758,1.49997,1.55095,1.6945,0.60306,0.53583,0.5616,0.31094,1.59402,1.65902,1.89822,0.000490173,0.000490173,0.000490173
11,374.164,1.48211,1.52507,1.65895,0.61234,0.55802,0.56101,0.2982,1.63238,1.74012,1.9202,0.000487886,0.000487886,0.000487886
12,407.341,1.47928,1.51199,1.6593,0.56863,0.57657,0.56827,0.30898,1.60468,1.66289,1.91127,0.000485368,0.000485368,0.000485368
13,440.299,1.4658,1.4476,1.64771,0.62984,0.52697,0.56276,0.29223,1.67012,1.90076,1.94968,0.00048262,0.00048262,0.00048262
14,473.409,1.44498,1.42957,1.62521,0.60077,0.53093,0.54053,0.28947,1.64841,1.77828,1.9139,0.000479644,0.000479644,0.000479644
15,506.397,1.42781,1.40342,1.61578,0.6611,0.55853,0.61645,0.34099,1.58289,1.54915,1.85642,0.000476445,0.000476445,0.000476445
16,539.872,1.40948,1.40354,1.60551,0.63584,0.59721,0.62101,0.34827,1.58145,1.48515,1.87931,0.000473024,0.000473024,0.000473024
17,575.21,1.41649,1.38608,1.61018,0.64912,0.59688,0.64214,0.36705,1.51342,1.48211,1.81347,0.000469386,0.000469386,0.000469386
18,608.918,1.41348,1.37474,1.60008,0.64752,0.56756,0.61453,0.34697,1.56663,1.53411,1.82358,0.000465534,0.000465534,0.000465534
19,645.269,1.39262,1.34263,1.60154,0.67556,0.58262,0.62671,0.34747,1.53768,1.45669,1.81067,0.000461471,0.000461471,0.000461471
20,679.193,1.38249,1.30488,1.5939,0.65385,0.61751,0.65412,0.37181,1.51693,1.37108,1.80938,0.000457202,0.000457202,0.000457202
21,712.904,1.37342,1.28791,1.57636,0.69646,0.60863,0.67054,0.37825,1.53583,1.35597,1.81389,0.000452732,0.000452732,0.000452732
22,746.051,1.36475,1.28139,1.5757,0.67931,0.6039,0.65279,0.37537,1.50993,1.50588,1.80609,0.000448063,0.000448063,0.000448063
23,780.177,1.34508,1.29196,1.56349,0.66915,0.58306,0.63341,0.35861,1.51948,1.50001,1.78655,0.000443202,0.000443202,0.000443202
24,813.023,1.34484,1.24069,1.55224,0.72643,0.58788,0.66732,0.3819,1.52029,1.31383,1.79779,0.000438152,0.000438152,0.000438152
25,846.046,1.34785,1.25066,1.55824,0.66864,0.61456,0.65417,0.37302,1.52638,1.43563,1.81325,0.00043292,0.00043292,0.00043292
26,878.847,1.32467,1.22077,1.53736,0.70928,0.61747,0.66925,0.3949,1.48985,1.30041,1.76762,0.000427509,0.000427509,0.000427509
27,912.032,1.30774,1.17592,1.53271,0.73628,0.62687,0.6859,0.39739,1.50757,1.26717,1.79351,0.000421925,0.000421925,0.000421925
28,946.299,1.32071,1.1771,1.53351,0.71322,0.60945,0.67093,0.38674,1.52541,1.33894,1.8079,0.000416175,0.000416175,0.000416175
29,979.593,1.3044,1.16112,1.51635,0.64702,0.6189,0.6443,0.38123,1.50122,1.34249,1.79601,0.000410262,0.000410262,0.000410262
30,1013.38,1.27933,1.14092,1.50137,0.70239,0.62389,0.66091,0.38616,1.50977,1.32614,1.77501,0.000404194,0.000404194,0.000404194
31,1046.9,1.28222,1.12069,1.5061,0.69705,0.6272,0.67578,0.39194,1.4879,1.26822,1.77956,0.000397977,0.000397977,0.000397977
32,1079.85,1.26435,1.10491,1.49781,0.68495,0.63572,0.67305,0.38943,1.50062,1.29731,1.79344,0.000391616,0.000391616,0.000391616
33,1112.61,1.2646,1.09617,1.48564,0.73462,0.61464,0.69045,0.4044,1.50129,1.21886,1.82798,0.000385117,0.000385117,0.000385117
34,1145.43,1.25657,1.08607,1.48601,0.71416,0.59969,0.6621,0.38559,1.49437,1.30096,1.77641,0.000378488,0.000378488,0.000378488
35,1182.93,1.23119,1.06159,1.46816,0.75958,0.63264,0.70371,0.41691,1.48542,1.20458,1.77394,0.000371734,0.000371734,0.000371734
36,1217.41,1.23761,1.04954,1.47352,0.69206,0.65868,0.6951,0.40343,1.50842,1.24773,1.78727,0.000364863,0.000364863,0.000364863
37,1250.33,1.22075,1.03838,1.46202,0.70275,0.61781,0.68774,0.39922,1.53436,1.25757,1.8297,0.00035788,0.00035788,0.00035788
38,1283.35,1.21042,1.02081,1.45687,0.70042,0.63901,0.68637,0.40245,1.51527,1.22668,1.81034,0.000350794,0.000350794,0.000350794
39,1317.69,1.20273,1.00476,1.44898,0.73077,0.64428,0.69512,0.4088,1.50924,1.18846,1.79376,0.000343611,0.000343611,0.000343611
40,1350.49,1.18824,0.98232,1.43538,0.70248,0.65999,0.70163,0.40597,1.52631,1.2023,1.8404,0.000336338,0.000336338,0.000336338
41,1383.21,1.18342,0.97335,1.42766,0.69998,0.6479,0.69885,0.40767,1.51896,1.22089,1.81673,0.000328982,0.000328982,0.000328982
42,1415.93,1.17206,0.9618,1.42623,0.72836,0.6487,0.70797,0.41638,1.50625,1.17347,1.80598,0.00032155,0.00032155,0.00032155
43,1448.65,1.16113,0.95439,1.42359,0.74382,0.63597,0.70681,0.41328,1.51222,1.18421,1.80228,0.000314051,0.000314051,0.000314051
44,1481.63,1.15293,0.91966,1.41365,0.713,0.64613,0.69741,0.41333,1.51387,1.21391,1.79781,0.00030649,0.00030649,0.00030649
45,1516.72,1.13439,0.91345,1.39389,0.73165,0.64952,0.70128,0.41724,1.49767,1.17764,1.79422,0.000298877,0.000298877,0.000298877
46,1549.89,1.15047,0.91545,1.41757,0.71166,0.65138,0.68996,0.4039,1.50249,1.19952,1.79456,0.000291218,0.000291218,0.000291218
47,1582.72,1.11559,0.89117,1.39163,0.72075,0.66186,0.71043,0.41525,1.51685,1.14357,1.83209,0.00028352,0.00028352,0.00028352
48,1615.63,1.11862,0.89991,1.39876,0.71473,0.65292,0.71043,0.4169,1.51366,1.16707,1.81673,0.000275792,0.000275792,0.000275792
49,1648.68,1.11377,0.8705,1.37987,0.72439,0.64407,0.70263,0.41504,1.51421,1.16995,1.8021,0.000268041,0.000268041,0.000268041
50,1683.51,1.09792,0.86031,1.37315,0.70402,0.66096,0.70177,0.41721,1.5054,1.18647,1.81865,0.000260274,0.000260274,0.000260274
51,1717.11,1.08425,0.86079,1.37188,0.68534,0.67349,0.70492,0.41103,1.50828,1.15432,1.81191,0.0002525,0.0002525,0.0002525
52,1750.09,1.08725,0.86339,1.35423,0.72871,0.66143,0.70643,0.41822,1.51492,1.16685,1.82942,0.000244726,0.000244726,0.000244726
53,1783.08,1.05628,0.81106,1.34555,0.72601,0.66034,0.71452,0.42189,1.52329,1.14356,1.84193,0.000236959,0.000236959,0.000236959
54,1815.99,1.05223,0.80305,1.34194,0.7225,0.66382,0.70808,0.41972,1.51436,1.12289,1.82504,0.000229208,0.000229208,0.000229208
55,1852.48,1.04873,0.79722,1.33454,0.75168,0.63617,0.71735,0.42828,1.49794,1.15154,1.8227,0.00022148,0.00022148,0.00022148
56,1885.66,1.02404,0.78855,1.32482,0.71997,0.66634,0.70812,0.41993,1.53172,1.16205,1.85626,0.000213782,0.000213782,0.000213782
57,1918.69,1.02761,0.7764,1.32864,0.71662,0.65541,0.70628,0.41917,1.51876,1.14821,1.84726,0.000206123,0.000206123,0.000206123
58,1951.62,1.01792,0.76711,1.30645,0.71105,0.67153,0.69977,0.42144,1.55042,1.20211,1.86924,0.00019851,0.00019851,0.00019851
59,1984.63,1.00783,0.74939,1.30827,0.71165,0.65306,0.69227,0.41806,1.54162,1.16757,1.88645,0.000190949,0.000190949,0.000190949
60,2017.59,0.99798,0.73278,1.3,0.75431,0.65615,0.71538,0.42732,1.53196,1.14198,1.87466,0.00018345,0.00018345,0.00018345
61,2050.61,1.00521,0.75193,1.32806,0.71452,0.67653,0.7046,0.41874,1.53871,1.14894,1.89558,0.000176018,0.000176018,0.000176018
62,2083.59,0.97753,0.73029,1.29636,0.70544,0.66611,0.6977,0.41709,1.53289,1.15967,1.91324,0.000168662,0.000168662,0.000168662
63,2116.51,0.97246,0.71721,1.2894,0.74224,0.66048,0.71198,0.42384,1.54797,1.1283,1.90857,0.000161389,0.000161389,0.000161389
64,2149.52,0.95874,0.7079,1.27794,0.72454,0.66434,0.70484,0.41278,1.56498,1.16186,1.94452,0.000154206,0.000154206,0.000154206
65,2182.55,0.94997,0.69916,1.27473,0.74898,0.66426,0.70905,0.41976,1.54405,1.14568,1.89925,0.00014712,0.00014712,0.00014712
66,2215.52,0.94527,0.68816,1.27336,0.72995,0.6712,0.7111,0.42284,1.55591,1.14818,1.92163,0.000140137,0.000140137,0.000140137
67,2248.43,0.93308,0.67348,1.26261,0.72787,0.64115,0.69591,0.41025,1.56668,1.17764,1.93204,0.000133266,0.000133266,0.000133266
68,2281.37,0.93642,0.67653,1.2628,0.71233,0.67668,0.70619,0.42347,1.55609,1.16192,1.92551,0.000126512,0.000126512,0.000126512
69,2314.45,0.90629,0.67043,1.25547,0.70493,0.67554,0.70128,0.42028,1.56796,1.18977,1.94317,0.000119883,0.000119883,0.000119883
70,2347.52,0.90381,0.65636,1.24241,0.71988,0.66674,0.70617,0.42332,1.56326,1.17906,1.94632,0.000113384,0.000113384,0.000113384
71,2380.59,0.89647,0.66381,1.24183,0.73386,0.66408,0.70505,0.4153,1.57626,1.16487,1.97258,0.000107023,0.000107023,0.000107023
72,2413.75,0.89486,0.64236,1.23675,0.71025,0.6865,0.7062,0.42137,1.56155,1.14388,1.95155,0.000100806,0.000100806,0.000100806
73,2446.89,0.88031,0.63674,1.22141,0.71655,0.67103,0.70142,0.41461,1.58389,1.17263,1.99717,9.47376e-05,9.47376e-05,9.47376e-05
74,2479.91,0.89873,0.64181,1.23995,0.72065,0.68281,0.70603,0.42028,1.57653,1.15762,1.98979,8.88253e-05,8.88253e-05,8.88253e-05
75,2513.04,0.88156,0.61413,1.22459,0.72109,0.68125,0.70595,0.42135,1.57635,1.15541,1.97967,8.30746e-05,8.30746e-05,8.30746e-05
76,2546.2,0.86281,0.60946,1.21636,0.72985,0.67587,0.70791,0.42418,1.56757,1.17386,1.9737,7.74911e-05,7.74911e-05,7.74911e-05
77,2579.39,0.8558,0.59694,1.21491,0.72408,0.66913,0.70755,0.4214,1.59284,1.16165,2.00538,7.20803e-05,7.20803e-05,7.20803e-05
78,2612.51,0.84898,0.59125,1.20551,0.72678,0.66771,0.70275,0.41612,1.58928,1.16881,2.00517,6.68475e-05,6.68475e-05,6.68475e-05
79,2645.58,0.84442,0.60048,1.20409,0.69563,0.69975,0.70557,0.41678,1.57949,1.17657,2.00875,6.1798e-05,6.1798e-05,6.1798e-05
80,2678.55,0.82075,0.57913,1.19044,0.72525,0.67094,0.705,0.42136,1.57959,1.17236,2.03121,5.69366e-05,5.69366e-05,5.69366e-05
