epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1865,1.6671,2.43988,1.81785,0.3695,0.36228,0.29598,0.14875,1.82209,6.9889,2.14755,0.0672877,0.000164384,0.000164384
2,75.8401,1.67847,2.00054,1.7926,0.30586,0.28909,0.23307,0.10697,2.01992,3.1414,2.45058,0.0341209,0.000330969,0.000330969
3,108.735,1.65665,1.8852,1.79302,0.4345,0.29749,0.26073,0.1265,1.93045,3.60167,2.32647,0.000953852,0.000497231,0.000497231
4,141.449,1.63963,1.8806,1.7893,0.40238,0.44834,0.36341,0.16948,1.85568,3.41741,2.26665,0.000498902,0.000498902,0.000498902
5,174.106,1.61233,1.81186,1.76084,0.45257,0.42947,0.40286,0.19338,1.82175,2.42676,2.17132,0.000498048,0.000498048,0.000498048
6,207.057,1.58834,1.75661,1.74267,0.58673,0.47701,0.50719,0.26319,1.73116,1.87515,2.02364,0.000496953,0.000496953,0.000496953
7,240.002,1.56769,1.70666,1.71735,0.58825,0.49665,0.51601,0.25823,1.76264,1.92385,2.0177,0.000495616,0.000495616,0.000495616
8,273.02,1.53647,1.63404,1.70404,0.55601,0.54409,0.53223,0.27932,1.63948,1.74881,1.90751,0.000494039,0.000494039,0.000494039
9,306.046,1.52012,1.58722,1.6799,0.60188,0.55768,0.57877,0.31501,1.60759,1.70813,1.90118,0.000492224,0.000492224,0.000492224
10,338.964,1.5045,1.55694,1.6858,0.61114,0.50127,0.5171,0.28042,1.67625,1.86436,1.95323,0.000490173,0.000490173,0.000490173
11,371.844,1.48567,1.53358,1.65191,0.65159,0.55794,0.60237,0.33471,1.58976,1.57799,1.82305,0.000487886,0.000487886,0.000487886
12,405.042,1.47518,1.49465,1.6495,0.62498,0.57786,0.59414,0.32509,1.55572,1.88682,1.83913,0.000485368,0.000485368,0.000485368
13,437.994,1.46071,1.45041,1.63718,0.61353,0.54183,0.5838,0.30768,1.60483,1.63298,1.88724,0.00048262,0.00048262,0.00048262
14,470.879,1.44755,1.41092,1.61858,0.61948,0.57057,0.59325,0.32578,1.58121,1.72189,1.83193,0.000479644,0.000479644,0.000479644
15,503.777,1.43015,1.41538,1.6132,0.60669,0.53641,0.5633,0.30042,1.61914,1.61375,1.93151,0.000476445,0.000476445,0.000476445
16,536.833,1.40771,1.39228,1.59884,0.70778,0.57433,0.64017,0.3577,1.51982,1.4875,1.79104,0.000473024,0.000473024,0.000473024
17,569.772,1.40587,1.38088,1.59946,0.67402,0.55767,0.61812,0.34842,1.5401,1.6715,1.80762,0.000469386,0.000469386,0.000469386
18,602.851,1.41923,1.36533,1.60072,0.65638,0.62579,0.66563,0.38333,1.50492,1.4121,1.78699,0.000465534,0.000465534,0.000465534
19,635.666,1.39321,1.32878,1.58818,0.64415,0.59395,0.60333,0.32318,1.56214,1.49395,1.80652,0.000461471,0.000461471,0.000461471
20,668.62,1.38352,1.33503,1.58217,0.67222,0.60087,0.64239,0.35878,1.52839,1.37213,1.80826,0.000457202,0.000457202,0.000457202
21,701.616,1.37416,1.28254,1.56907,0.67604,0.61424,0.65857,0.37195,1.51812,1.3519,1.79674,0.000452732,0.000452732,0.000452732
22,734.628,1.36839,1.28753,1.57568,0.68598,0.60556,0.66281,0.37945,1.50971,1.47456,1.76853,0.000448063,0.000448063,0.000448063
23,768.003,1.34326,1.28247,1.556,0.69918,0.61312,0.67039,0.38882,1.50012,1.32512,1.76644,0.000443202,0.000443202,0.000443202
