epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3413,3.13318,3.15926,3.43845,0.0131,0.26803,0.04998,0.01434,3.22148,4.58567,3.31747,0.0672877,0.000164384,0.000164384
2,83.3772,2.31021,2.23814,2.72394,0.23815,0.24794,0.18978,0.07307,2.3051,3.27986,2.95696,0.0341209,0.000330969,0.000330969
3,118.326,2.01505,2.05394,2.40994,0.20422,0.25044,0.1247,0.0434,2.32037,4.0529,3.10208,0.000953852,0.000497231,0.000497231
4,152.748,1.91073,2.00155,2.27943,0.43477,0.25685,0.25832,0.10509,2.06516,4.00571,2.72525,0.000498902,0.000498902,0.000498902
5,187.196,1.81691,1.89008,2.17687,0.31103,0.36259,0.3048,0.14191,2.00642,3.04216,2.55391,0.000498048,0.000498048,0.000498048
6,221.706,1.7899,1.8624,2.13085,0.52719,0.4461,0.45946,0.21716,1.84464,2.26563,2.31859,0.000496953,0.000496953,0.000496953
7,256.33,1.72199,1.79963,2.06326,0.53027,0.51506,0.49622,0.23075,1.79725,2.38578,2.32542,0.000495616,0.000495616,0.000495616
8,292.053,1.67838,1.70953,2.03062,0.48821,0.36829,0.36144,0.18714,1.86702,2.57421,2.47581,0.000494039,0.000494039,0.000494039
9,326.586,1.66462,1.65769,2.0119,0.63032,0.54535,0.58102,0.30531,1.6606,1.70348,2.14922,0.000492224,0.000492224,0.000492224
10,361.655,1.62248,1.60932,1.97656,0.61017,0.58161,0.59628,0.30629,1.68597,1.61991,2.19452,0.000490173,0.000490173,0.000490173
11,396.37,1.63211,1.61719,1.96747,0.53728,0.4776,0.46982,0.23883,1.73178,2.50771,2.25726,0.000487886,0.000487886,0.000487886
12,430.857,1.59797,1.56959,1.93868,0.62518,0.52287,0.5638,0.29694,1.67256,1.72257,2.18781,0.000485368,0.000485368,0.000485368
13,466.713,1.57109,1.52026,1.91523,0.6121,0.5558,0.5961,0.31783,1.59057,1.99794,2.09563,0.00048262,0.00048262,0.00048262
14,500.969,1.54793,1.487,1.89318,0.69672,0.59079,0.64222,0.35431,1.61623,1.47214,2.10895,0.000479644,0.000479644,0.000479644
15,538.84,1.52698,1.45747,1.87757,0.66481,0.5837,0.62956,0.34749,1.63448,1.51419,2.10866,0.000476445,0.000476445,0.000476445
16,576.787,1.50376,1.43204,1.86625,0.5962,0.52478,0.53033,0.27618,1.78474,1.71844,2.28052,0.000473024,0.000473024,0.000473024
