epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1272,3.09592,3.24117,3.46622,0.11966,0.06982,0.07323,0.02697,3.17241,4.66994,3.40255,0.0672877,0.000164384,0.000164384
2,80.3353,2.23749,2.24871,2.70149,0.09341,0.08874,0.02977,0.01111,2.58919,5.15112,3.20424,0.0341209,0.000330969,0.000330969
3,114.898,1.98374,2.03635,2.36947,0.36014,0.31768,0.24857,0.08513,2.22036,4.38113,2.85685,0.000953852,0.000497231,0.000497231
4,149.365,1.8892,1.98992,2.25525,0.29249,0.3205,0.25473,0.10517,2.13791,3.76179,2.754,0.000498902,0.000498902,0.000498902
5,183.668,1.81185,1.89799,2.16897,0.40688,0.35073,0.32228,0.15369,1.93668,3.08438,2.51854,0.000498048,0.000498048,0.000498048
6,217.957,1.76389,1.84457,2.11987,0.52788,0.42656,0.45509,0.2221,1.85423,1.97906,2.32918,0.000496953,0.000496953,0.000496953
7,252.201,1.71495,1.78173,2.05998,0.51451,0.51001,0.48373,0.23509,1.81145,2.07355,2.33177,0.000495616,0.000495616,0.000495616
8,286.557,1.6729,1.70372,2.02437,0.60441,0.51399,0.53505,0.26701,1.75178,2.00388,2.31625,0.000494039,0.000494039,0.000494039
9,320.882,1.65472,1.66883,2.00742,0.60749,0.47461,0.48525,0.25429,1.75326,2.04701,2.25399,0.000492224,0.000492224,0.000492224
10,355.125,1.62202,1.61788,1.98436,0.59168,0.5647,0.56298,0.28152,1.81588,1.66895,2.31106,0.000490173,0.000490173,0.000490173
11,389.453,1.62563,1.60644,1.96951,0.59777,0.52183,0.55064,0.28342,1.71729,1.99992,2.23277,0.000487886,0.000487886,0.000487886
12,423.773,1.58429,1.56169,1.92705,0.64789,0.56037,0.60602,0.32259,1.6551,1.55531,2.16698,0.000485368,0.000485368,0.000485368
13,458.132,1.5591,1.50798,1.90567,0.60731,0.57989,0.59347,0.31995,1.59269,1.62893,2.08806,0.00048262,0.00048262,0.00048262
14,492.366,1.55772,1.48276,1.89631,0.63275,0.54274,0.58086,0.31713,1.60895,1.69504,2.0938,0.000479644,0.000479644,0.000479644
15,526.608,1.52189,1.46604,1.87094,0.62102,0.55631,0.58432,0.32228,1.66222,1.64872,2.15858,0.000476445,0.000476445,0.000476445
16,561.36,1.49968,1.42942,1.85994,0.65091,0.58313,0.60515,0.31649,1.68644,1.5376,2.17398,0.000473024,0.000473024,0.000473024
17,595.546,1.49563,1.41418,1.84752,0.65684,0.60755,0.63872,0.35334,1.59377,1.46504,2.07529,0.000469386,0.000469386,0.000469386
18,629.795,1.49771,1.41055,1.83642,0.67738,0.57665,0.64138,0.34919,1.65572,1.50868,2.11484,0.000465534,0.000465534,0.000465534
19,663.999,1.47364,1.38223,1.8223,0.6337,0.58364,0.60267,0.32465,1.62396,1.54761,2.11348,0.000461471,0.000461471,0.000461471
20,698.221,1.45854,1.3632,1.81907,0.65919,0.61905,0.6515,0.36637,1.58612,1.42247,2.04305,0.000457202,0.000457202,0.000457202
21,734.036,1.45421,1.31925,1.80571,0.69671,0.60941,0.66246,0.37081,1.56697,1.37989,2.02086,0.000452732,0.000452732,0.000452732
