epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8752,11.8505,4.22921,14.2099,0.00247,0.27278,0.0253,0.00629,12.0065,4.70578,13.591,0.0672877,0.000164384,0.000164384
2,113.55,9.1489,2.91455,11.5399,0.49548,0.14043,0.12392,0.04286,9.23801,3.55396,12.2581,0.0341209,0.000330969,0.000330969
3,165.942,8.02874,2.66608,10.3131,0.26248,0.2499,0.18286,0.07609,8.06784,11.0246,11.3485,0.000953852,0.000497231,0.000497231
4,233.413,7.5856,2.56205,9.76591,0.22037,0.22765,0.15301,0.0588,8.00094,15.7918,11.1608,0.000498902,0.000498902,0.000498902
5,284.787,7.3171,2.40092,9.42811,0.40497,0.27686,0.28582,0.14684,7.31014,3.26074,10.4351,0.000498048,0.000498048,0.000498048
6,336.199,7.20297,2.35047,9.25956,0.39197,0.37549,0.32133,0.15528,7.33398,2.53162,9.88195,0.000496953,0.000496953,0.000496953
7,386.893,6.98184,2.25313,9.02919,0.51988,0.43479,0.42817,0.20134,7.02121,2.31222,9.8186,0.000495616,0.000495616,0.000495616
8,437.649,6.80802,2.16868,8.8345,0.43481,0.43652,0.38092,0.19112,6.9828,3.27011,9.70494,0.000494039,0.000494039,0.000494039
9,489.475,6.72047,2.1053,8.77312,0.49352,0.47592,0.45936,0.23751,6.76692,2.1374,9.24657,0.000492224,0.000492224,0.000492224
10,540.283,6.6103,2.04348,8.64559,0.54303,0.50859,0.50559,0.25465,6.73283,2.00374,9.33564,0.000490173,0.000490173,0.000490173
11,590.569,6.57346,2.03196,8.58768,0.5639,0.48844,0.50734,0.26737,6.75773,1.99516,9.21202,0.000487886,0.000487886,0.000487886
12,641.082,6.48634,1.98238,8.50793,0.56204,0.51327,0.51811,0.28087,6.61547,1.906,9.16762,0.000485368,0.000485368,0.000485368
13,696.498,6.44173,1.94534,8.47972,0.52745,0.48118,0.47614,0.24933,6.53705,2.31675,9.08712,0.00048262,0.00048262,0.00048262
