epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1185,11.8078,4.03708,14.1399,0.00251,0.28539,0.00704,0.0018,12.0878,4.70741,13.4053,0.0672877,0.000164384,0.000164384
2,115.344,9.13181,2.93461,11.5384,0.46618,0.1247,0.09414,0.03504,8.98091,9.31247,11.9877,0.0341209,0.000330969,0.000330969
3,170.357,8.07178,2.72763,10.4203,0.247,0.29462,0.18452,0.07547,7.65604,8.50517,11.0958,0.000953852,0.000497231,0.000497231
4,221.734,7.65637,2.56337,9.8509,0.31244,0.30353,0.21713,0.09499,7.72493,4.83592,10.6505,0.000498902,0.000498902,0.000498902
5,274.225,7.30432,2.43923,9.4582,0.27086,0.42692,0.30218,0.14646,7.10881,3.68219,9.94724,0.000498048,0.000498048,0.000498048
6,325.716,7.19045,2.36836,9.31669,0.38554,0.3662,0.31054,0.15442,7.0449,4.02497,9.8919,0.000496953,0.000496953,0.000496953
7,376.688,6.92579,2.24599,9.03503,0.43608,0.33797,0.34119,0.17018,7.59255,2.42176,10.3063,0.000495616,0.000495616,0.000495616
8,427.124,6.79616,2.17095,8.87472,0.51387,0.40914,0.42389,0.19803,7.21192,2.25831,10.049,0.000494039,0.000494039,0.000494039
9,483.401,6.71128,2.14495,8.80622,0.44233,0.42858,0.37723,0.20061,6.58781,3.07383,9.19913,0.000492224,0.000492224,0.000492224
10,535.263,6.55284,2.06302,8.65524,0.52575,0.45009,0.44599,0.23199,6.75467,2.17529,9.39097,0.000490173,0.000490173,0.000490173
11,586.438,6.59429,2.04868,8.61153,0.53717,0.48619,0.48752,0.25099,6.61559,2.35829,9.21661,0.000487886,0.000487886,0.000487886
12,637.976,6.4579,2.01714,8.54152,0.5676,0.49775,0.50083,0.26013,6.62273,1.93392,9.13345,0.000485368,0.000485368,0.000485368
13,691.289,6.39456,1.94965,8.5049,0.52945,0.48438,0.46267,0.23745,6.48457,3.33999,9.01466,0.00048262,0.00048262,0.00048262
14,744.559,6.28747,1.89225,8.34557,0.58629,0.52644,0.55128,0.29815,6.32309,1.94741,8.88288,0.000479644,0.000479644,0.000479644
15,794.943,6.18843,1.85455,8.23095,0.617,0.53105,0.55819,0.30468,6.34675,1.72385,8.85275,0.000476445,0.000476445,0.000476445
16,845.954,6.15772,1.85276,8.21929,0.60917,0.52028,0.56121,0.29959,6.3795,1.82395,8.95229,0.000473024,0.000473024,0.000473024
17,898.522,6.0783,1.80666,8.13027,0.61638,0.52817,0.55095,0.29936,6.32862,1.97342,8.83526,0.000469386,0.000469386,0.000469386
18,949.292,6.12596,1.80226,8.10145,0.60475,0.55251,0.57604,0.31512,6.29064,1.77783,8.6829,0.000465534,0.000465534,0.000465534
19,999.769,6.03732,1.75235,8.06872,0.60833,0.54666,0.5661,0.31078,6.28605,1.76837,8.79869,0.000461471,0.000461471,0.000461471
20,1050.44,5.96496,1.74323,8.03189,0.6177,0.54222,0.57627,0.31677,6.2057,1.77604,8.6525,0.000457202,0.000457202,0.000457202
21,1104.98,5.91667,1.70682,7.94358,0.61049,0.52447,0.55561,0.30174,6.40727,1.77281,8.89942,0.000452732,0.000452732,0.000452732
22,1155.49,5.90733,1.69926,7.99545,0.62344,0.57491,0.59711,0.32924,6.21736,1.71905,8.64407,0.000448063,0.000448063,0.000448063
23,1207.17,5.76343,1.67145,7.84263,0.6327,0.53189,0.56857,0.31552,6.25043,1.73543,8.69199,0.000443202,0.000443202,0.000443202
24,1257.64,5.75322,1.63456,7.80499,0.65871,0.55315,0.60669,0.3356,6.18006,1.60469,8.55747,0.000438152,0.000438152,0.000438152
25,1310.74,5.74761,1.63634,7.76768,0.63602,0.58251,0.60732,0.35361,6.06426,1.68243,8.4048,0.00043292,0.00043292,0.00043292
26,1361.39,5.72295,1.62135,7.78819,0.67358,0.57974,0.63118,0.3552,6.12122,1.54705,8.64032,0.000427509,0.000427509,0.000427509
27,1411.87,5.59968,1.55807,7.69709,0.69297,0.56175,0.6319,0.36316,6.0723,1.53939,8.58178,0.000421925,0.000421925,0.000421925
28,1462.41,5.63503,1.55097,7.67398,0.64676,0.55816,0.59639,0.33737,6.16189,1.6315,8.5235,0.000416175,0.000416175,0.000416175
29,1515.78,5.57393,1.53282,7.60941,0.62945,0.57089,0.59388,0.33653,6.06905,1.64529,8.56227,0.000410262,0.000410262,0.000410262
30,1569.89,5.54638,1.54014,7.63792,0.60994,0.60224,0.6063,0.34667,6.0041,1.79584,8.48019,0.000404194,0.000404194,0.000404194
31,1621.97,5.51204,1.49992,7.53586,0.64486,0.60578,0.63909,0.36282,6.09031,1.48872,8.53658,0.000397977,0.000397977,0.000397977
32,1673.44,5.42581,1.49632,7.53699,0.70061,0.59726,0.65908,0.37649,6.00799,1.45236,8.52408,0.000391616,0.000391616,0.000391616
33,1724.14,5.43006,1.47707,7.53281,0.61239,0.62522,0.63285,0.35719,5.96242,1.59141,8.51191,0.000385117,0.000385117,0.000385117
34,1775.27,5.36635,1.45183,7.48432,0.65608,0.5995,0.64293,0.36756,6.14785,1.47389,8.66844,0.000378488,0.000378488,0.000378488
35,1826.5,5.32897,1.44705,7.42988,0.67859,0.61162,0.66038,0.38285,5.89103,1.46634,8.36782,0.000371734,0.000371734,0.000371734
36,1877.69,5.3354,1.43797,7.42302,0.66748,0.61579,0.66474,0.38932,5.86066,1.46632,8.32298,0.000364863,0.000364863,0.000364863
37,1931.93,5.21123,1.40534,7.32348,0.72018,0.62835,0.68881,0.39415,5.95159,1.35308,8.3862,0.00035788,0.00035788,0.00035788
38,1982.98,5.20172,1.4007,7.33082,0.6728,0.62563,0.66875,0.39006,5.93918,1.39019,8.47805,0.000350794,0.000350794,0.000350794
39,2033.43,5.19544,1.38825,7.27777,0.68641,0.61246,0.66318,0.38703,5.88586,1.38932,8.34983,0.000343611,0.000343611,0.000343611
40,2084.23,5.11938,1.36417,7.20586,0.69006,0.60558,0.65799,0.38176,6.07661,1.39835,8.58225,0.000336338,0.000336338,0.000336338
41,2136.62,5.04445,1.35911,7.17025,0.68445,0.60805,0.66707,0.38737,6.02918,1.35934,8.52722,0.000328982,0.000328982,0.000328982
