epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5756,3.45335,4.22229,3.71394,0.00124,0.2079,0.00127,0.00039,3.34411,3.54904,3.34919,0.0677297,0.000162162,0.000162162
2,55.2691,3.30808,3.6711,3.23665,0.33636,0.09299,0.00261,0.00067,3.42712,inf,3.44176,0.034563,0.000328749,0.000328749
3,74.8117,2.87233,3.35529,2.98661,0.02092,0.20505,0.01798,0.00466,2.99828,inf,3.61917,0.00139591,0.000495012,0.000495012
4,90.8107,2.54708,3.08103,2.74078,0.07475,0.22654,0.06012,0.0238,2.50149,4.85658,2.95732,0.000498902,0.000498902,0.000498902
5,105.266,2.35458,2.88189,2.56291,0.32371,0.19373,0.14937,0.05078,2.44044,3.14915,2.81903,0.000498048,0.000498048,0.000498048
6,120.718,2.21661,2.68298,2.43751,0.3583,0.28501,0.23356,0.09484,2.22767,2.71234,2.57775,0.000496953,0.000496953,0.000496953
7,135.371,2.12995,2.53182,2.36086,0.40931,0.31992,0.29209,0.12392,2.12704,2.57838,2.55746,0.000495616,0.000495616,0.000495616
8,150.178,2.04903,2.45241,2.29621,0.37911,0.33102,0.28057,0.11019,2.11862,2.72248,2.47388,0.000494039,0.000494039,0.000494039
9,165.873,1.99191,2.36813,2.24176,0.38064,0.34748,0.28392,0.11683,2.15854,2.41102,2.46405,0.000492224,0.000492224,0.000492224
10,179.87,1.96323,2.24681,2.19081,0.47303,0.38468,0.36263,0.16768,2.0084,2.24983,2.35683,0.000490173,0.000490173,0.000490173
11,196.6,1.91713,2.23143,2.15943,0.55146,0.38297,0.41649,0.19505,1.93644,2.34723,2.2921,0.000487886,0.000487886,0.000487886
12,210.419,1.9053,2.18567,2.13968,0.54929,0.43449,0.44827,0.20743,1.93104,2.11227,2.29497,0.000485368,0.000485368,0.000485368
13,223.508,1.87315,2.1221,2.10499,0.53598,0.41051,0.42979,0.20669,1.94239,2.10152,2.28687,0.00048262,0.00048262,0.00048262
14,238.163,1.85011,2.07725,2.08689,0.54525,0.4456,0.46968,0.22274,1.87865,2.23869,2.23803,0.000479644,0.000479644,0.000479644
15,251.513,1.8141,2.02896,2.05717,0.55753,0.45206,0.46605,0.22792,1.8886,1.98944,2.23328,0.000476445,0.000476445,0.000476445
16,264.655,1.78868,1.98433,2.0307,0.61253,0.48148,0.52432,0.25985,1.80558,1.89019,2.16917,0.000473024,0.000473024,0.000473024
17,278.65,1.80285,1.98779,2.01941,0.58039,0.4755,0.49714,0.24423,1.79927,1.98662,2.15903,0.000469386,0.000469386,0.000469386
18,293.158,1.77677,1.9493,2.0253,0.55129,0.49335,0.4887,0.24439,1.83209,1.9366,2.19667,0.000465534,0.000465534,0.000465534
19,306.042,1.75068,1.92197,1.99099,0.56063,0.4976,0.51828,0.26693,1.76148,1.86526,2.14186,0.000461471,0.000461471,0.000461471
20,318.651,1.74964,1.9036,1.99327,0.61433,0.5103,0.52598,0.26582,1.77485,1.83743,2.14391,0.000457202,0.000457202,0.000457202
21,332.211,1.73262,1.87615,1.96066,0.58179,0.47723,0.51296,0.24958,1.81752,2.00625,2.1559,0.000452732,0.000452732,0.000452732
22,345.208,1.7141,1.86669,1.95578,0.60864,0.46213,0.50132,0.25122,1.80421,2.04474,2.15652,0.000448063,0.000448063,0.000448063
23,359.773,1.69705,1.84188,1.95196,0.60309,0.49258,0.53493,0.27324,1.75753,1.89945,2.1218,0.000443202,0.000443202,0.000443202
24,373.126,1.69288,1.81221,1.93467,0.62695,0.50778,0.55786,0.2854,1.759,1.78751,2.11343,0.000438152,0.000438152,0.000438152
25,386.053,1.67186,1.76468,1.9137,0.58553,0.50848,0.54699,0.28551,1.74987,1.75446,2.08796,0.00043292,0.00043292,0.00043292
26,399.022,1.68122,1.78859,1.92969,0.61728,0.51956,0.54806,0.28092,1.76479,1.77306,2.11053,0.000427509,0.000427509,0.000427509
27,412.448,1.66613,1.7475,1.90249,0.64046,0.53058,0.56663,0.28718,1.74395,1.73673,2.08619,0.000421925,0.000421925,0.000421925
28,424.946,1.66049,1.73606,1.90222,0.6248,0.50592,0.53408,0.28224,1.71453,1.78128,2.06345,0.000416175,0.000416175,0.000416175
29,437.341,1.65147,1.71501,1.88931,0.66527,0.5108,0.56748,0.29924,1.7604,1.73437,2.10367,0.000410262,0.000410262,0.000410262
30,449.857,1.62283,1.68805,1.87229,0.62632,0.56332,0.58901,0.31066,1.70343,1.62733,2.03422,0.000404194,0.000404194,0.000404194
31,463.7,1.62195,1.67935,1.86152,0.64378,0.53585,0.58985,0.31485,1.71291,1.66888,2.05142,0.000397977,0.000397977,0.000397977
32,476.801,1.62999,1.67087,1.86183,0.62696,0.51364,0.56188,0.29531,1.69351,1.75721,2.03069,0.000391616,0.000391616,0.000391616
33,490.897,1.60771,1.6611,1.86074,0.63034,0.55208,0.5967,0.31978,1.67432,1.64217,1.99904,0.000385117,0.000385117,0.000385117
34,504.683,1.60074,1.61709,1.84278,0.66857,0.54862,0.6027,0.32375,1.67063,1.64009,2.01,0.000378488,0.000378488,0.000378488
35,517.038,1.59762,1.62075,1.8398,0.61311,0.56863,0.5877,0.3153,1.68984,1.68257,2.02914,0.000371734,0.000371734,0.000371734
36,530,1.58103,1.60254,1.8263,0.59745,0.56148,0.57557,0.31035,1.66295,1.66833,2.00706,0.000364863,0.000364863,0.000364863
37,546.751,1.582,1.60283,1.82715,0.6031,0.55762,0.58135,0.3071,1.72087,1.63333,2.06785,0.00035788,0.00035788,0.00035788
