epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3585,3.45932,4.21799,3.73125,0.00177,0.19447,0.00123,0.00039,3.32205,3.65524,3.36324,0.0677297,0.000162162,0.000162162
2,51.2186,3.31277,3.65161,3.24321,0.00246,0.25553,0.00259,0.00071,3.31016,16.6437,3.4894,0.034563,0.000328749,0.000328749
3,71.5889,2.89018,3.37318,3.00205,0.04012,0.1175,0.02366,0.00589,2.93271,inf,3.47842,0.00139591,0.000495012,0.000495012
4,92.1004,2.54842,3.11815,2.76104,0.20154,0.1876,0.1273,0.04229,2.42038,7.32299,2.90486,0.000498902,0.000498902,0.000498902
5,109.107,2.35741,2.8938,2.5737,0.14165,0.1283,0.05638,0.01833,2.53949,3.98834,2.94579,0.000498048,0.000498048,0.000498048
6,127.767,2.21429,2.69728,2.43893,0.33189,0.26675,0.22557,0.08964,2.22464,3.12547,2.65058,0.000496953,0.000496953,0.000496953
7,143.238,2.12669,2.54977,2.347,0.37146,0.32255,0.27723,0.11136,2.1294,2.83795,2.57127,0.000495616,0.000495616,0.000495616
8,158.306,2.04649,2.47518,2.28523,0.3689,0.31164,0.28634,0.11965,2.15948,2.51317,2.49008,0.000494039,0.000494039,0.000494039
9,170.126,1.99104,2.37285,2.24202,0.35105,0.32392,0.23411,0.0923,2.19353,2.95795,2.56871,0.000492224,0.000492224,0.000492224
10,184.602,1.95383,2.27392,2.17598,0.46759,0.37466,0.37201,0.16636,2.03701,2.26585,2.376,0.000490173,0.000490173,0.000490173
11,198.358,1.9076,2.23615,2.14969,0.49823,0.409,0.42412,0.19478,1.94298,2.13268,2.32866,0.000487886,0.000487886,0.000487886
12,211.442,1.89855,2.21106,2.13625,0.48588,0.38255,0.37991,0.16712,2.02989,2.29546,2.37047,0.000485368,0.000485368,0.000485368
13,228.625,1.86809,2.14484,2.10288,0.50025,0.4231,0.42965,0.20142,1.90564,2.14546,2.2655,0.00048262,0.00048262,0.00048262
14,242.915,1.84303,2.09419,2.08562,0.5151,0.40603,0.4272,0.1991,1.89495,2.19321,2.24607,0.000479644,0.000479644,0.000479644
15,255.404,1.8008,2.0468,2.04694,0.57292,0.47133,0.48966,0.23669,1.89564,1.99923,2.24285,0.000476445,0.000476445,0.000476445
16,268.715,1.79009,1.99972,2.02882,0.56001,0.46459,0.4881,0.23842,1.8709,2.00277,2.23646,0.000473024,0.000473024,0.000473024
17,282.832,1.79418,1.99818,2.01665,0.56857,0.49576,0.49997,0.2525,1.81791,1.91278,2.17896,0.000469386,0.000469386,0.000469386
18,296.472,1.77544,1.96396,2.01525,0.59702,0.51835,0.5326,0.26741,1.80043,1.84063,2.12915,0.000465534,0.000465534,0.000465534
19,310.356,1.75616,1.93944,1.98332,0.58289,0.50847,0.52669,0.27332,1.7539,1.82879,2.1255,0.000461471,0.000461471,0.000461471
20,325.4,1.74367,1.9317,1.98815,0.57855,0.47076,0.49537,0.24147,1.80205,1.95672,2.14318,0.000457202,0.000457202,0.000457202
21,338.437,1.72663,1.88588,1.95017,0.58698,0.48591,0.52035,0.25962,1.7857,1.89375,2.1287,0.000452732,0.000452732,0.000452732
22,352.422,1.70427,1.87626,1.94614,0.55889,0.53671,0.53505,0.28241,1.73623,1.90131,2.06807,0.000448063,0.000448063,0.000448063
23,366.814,1.69069,1.84715,1.93834,0.54714,0.51262,0.52275,0.26606,1.76676,2.03113,2.11413,0.000443202,0.000443202,0.000443202
24,381.9,1.69187,1.82731,1.92803,0.63056,0.52295,0.54992,0.2775,1.76129,1.74198,2.10954,0.000438152,0.000438152,0.000438152
25,395.65,1.66766,1.79091,1.9136,0.59581,0.52234,0.54053,0.28144,1.73629,1.82588,2.09568,0.00043292,0.00043292,0.00043292
26,410.023,1.68639,1.80017,1.93446,0.58667,0.53816,0.54939,0.2816,1.73954,1.91842,2.08254,0.000427509,0.000427509,0.000427509
27,424.507,1.66765,1.75101,1.90126,0.64159,0.51222,0.55571,0.2865,1.73523,1.7491,2.07681,0.000421925,0.000421925,0.000421925
28,438.29,1.66056,1.74681,1.89559,0.55358,0.49253,0.49904,0.2557,1.78486,1.87267,2.14003,0.000416175,0.000416175,0.000416175
29,451.458,1.65159,1.74157,1.88931,0.62875,0.55336,0.57818,0.30625,1.6885,1.65675,2.048,0.000410262,0.000410262,0.000410262
