epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.212,2.85871,3.34813,3.52381,0.34329,0.1456,0.13875,0.04606,2.55036,3.53449,3.26814,0.0672877,0.000164384,0.000164384
2,108.351,2.19631,2.40514,2.90886,0.13576,0.34102,0.12109,0.05129,2.17937,6.04531,3.10286,0.0341209,0.000330969,0.000330969
3,156.85,1.96656,2.20076,2.62673,0.34725,0.33538,0.25393,0.10744,1.90862,4.78293,2.82372,0.000953852,0.000497231,0.000497231
4,204.989,1.85111,2.13728,2.46991,0.36615,0.36895,0.30538,0.1342,1.96093,3.75179,2.8298,0.000498902,0.000498902,0.000498902
5,255.914,1.80952,2.0623,2.38861,0.39564,0.30464,0.29122,0.12862,2.01323,2.72993,2.90167,0.000498048,0.000498048,0.000498048
6,304.111,1.7484,2.0072,2.32318,0.55088,0.46896,0.48003,0.24385,1.71509,2.8509,2.43821,0.000496953,0.000496953,0.000496953
7,352.04,1.70652,1.91686,2.27283,0.58318,0.50773,0.52527,0.25226,1.73209,2.09891,2.48605,0.000495616,0.000495616,0.000495616
8,400.536,1.66569,1.85963,2.2248,0.55901,0.47384,0.47565,0.23443,1.79806,2.23117,2.55805,0.000494039,0.000494039,0.000494039
9,448.367,1.64296,1.80763,2.2099,0.62407,0.52109,0.55895,0.29414,1.6241,1.9309,2.31803,0.000492224,0.000492224,0.000492224
10,497.766,1.60344,1.74652,2.16304,0.63177,0.51146,0.55568,0.29537,1.65301,1.83984,2.32083,0.000490173,0.000490173,0.000490173
11,547.194,1.59451,1.74044,2.14397,0.57288,0.55368,0.56358,0.29308,1.66289,1.97473,2.3386,0.000487886,0.000487886,0.000487886
12,596.614,1.59295,1.7059,2.14166,0.62188,0.55526,0.58701,0.32156,1.59357,1.75633,2.29967,0.000485368,0.000485368,0.000485368
13,644.427,1.55753,1.6555,2.12682,0.60159,0.54238,0.56229,0.28956,1.63512,1.95486,2.33489,0.00048262,0.00048262,0.00048262
14,692.405,1.53188,1.60484,2.09154,0.64871,0.57153,0.61187,0.33392,1.54879,1.77495,2.24008,0.000479644,0.000479644,0.000479644
15,739.758,1.50785,1.5853,2.07443,0.67909,0.51423,0.59151,0.33015,1.61632,1.72218,2.32652,0.000476445,0.000476445,0.000476445
16,787.493,1.48996,1.57248,2.05735,0.65049,0.59828,0.60814,0.32439,1.62855,1.58034,2.31623,0.000473024,0.000473024,0.000473024
17,835.201,1.47745,1.53878,2.03996,0.64805,0.60728,0.62569,0.34484,1.53731,1.57101,2.21174,0.000469386,0.000469386,0.000469386
18,882.936,1.49019,1.55579,2.04258,0.65707,0.57595,0.6219,0.34995,1.56938,1.72736,2.22467,0.000465534,0.000465534,0.000465534
19,931.205,1.47019,1.50444,2.02067,0.63718,0.54229,0.58077,0.30848,1.61848,1.64099,2.30184,0.000461471,0.000461471,0.000461471
20,978.718,1.45529,1.47702,2.00901,0.6108,0.56945,0.59681,0.32781,1.57496,1.61144,2.25155,0.000457202,0.000457202,0.000457202
21,1028.52,1.43719,1.43051,1.99184,0.71221,0.57794,0.66453,0.36891,1.59256,1.45801,2.24876,0.000452732,0.000452732,0.000452732
22,1075.85,1.43568,1.44334,1.99864,0.64767,0.60352,0.63402,0.35791,1.5724,1.54115,2.22209,0.000448063,0.000448063,0.000448063
23,1123.34,1.39364,1.40814,1.95973,0.67145,0.60194,0.64755,0.36055,1.54443,1.50403,2.18845,0.000443202,0.000443202,0.000443202
24,1172.87,1.39959,1.36012,1.96381,0.67333,0.5966,0.64876,0.35961,1.57534,1.46465,2.23216,0.000438152,0.000438152,0.000438152
25,1220.31,1.40021,1.37705,1.96358,0.71071,0.59315,0.66724,0.38151,1.53478,1.4472,2.19427,0.00043292,0.00043292,0.00043292
26,1267.54,1.39232,1.33087,1.95244,0.72209,0.59422,0.65806,0.37326,1.57561,1.4216,2.2406,0.000427509,0.000427509,0.000427509
27,1315.62,1.36231,1.29366,1.93356,0.68191,0.64398,0.67671,0.38938,1.54381,1.40124,2.1996,0.000421925,0.000421925,0.000421925
28,1362.87,1.37308,1.28266,1.92611,0.68609,0.61327,0.67131,0.384,1.5677,1.4053,2.21838,0.000416175,0.000416175,0.000416175
29,1409.92,1.35136,1.27785,1.9146,0.67463,0.61503,0.64209,0.36301,1.53249,1.44535,2.22346,0.000410262,0.000410262,0.000410262
30,1458.82,1.33875,1.24025,1.90524,0.67319,0.62436,0.65431,0.36896,1.58094,1.39514,2.26706,0.000404194,0.000404194,0.000404194
31,1505.87,1.33546,1.22692,1.89468,0.69651,0.6321,0.67031,0.38447,1.55095,1.40331,2.21248,0.000397977,0.000397977,0.000397977
32,1554.72,1.31286,1.21131,1.88345,0.69973,0.61534,0.67685,0.38359,1.53175,1.44438,2.20698,0.000391616,0.000391616,0.000391616
33,1602.11,1.30507,1.18667,1.87627,0.70549,0.65263,0.67414,0.38871,1.52917,1.32561,2.19936,0.000385117,0.000385117,0.000385117
34,1651.65,1.30446,1.16695,1.87376,0.68862,0.65853,0.6817,0.38713,1.54515,1.31922,2.20953,0.000378488,0.000378488,0.000378488
35,1699.58,1.28308,1.15148,1.85081,0.70621,0.65558,0.70477,0.41534,1.53578,1.30392,2.18758,0.000371734,0.000371734,0.000371734
36,1750.85,1.27201,1.12813,1.84901,0.69977,0.66683,0.70152,0.40735,1.53967,1.29409,2.21792,0.000364863,0.000364863,0.000364863
37,1798.83,1.26058,1.1144,1.82977,0.67193,0.65403,0.68179,0.3936,1.5432,1.29805,2.21532,0.00035788,0.00035788,0.00035788
38,1848.19,1.24465,1.10468,1.82305,0.68147,0.66112,0.68897,0.39739,1.55063,1.27942,2.25044,0.000350794,0.000350794,0.000350794
39,1895.58,1.23826,1.06975,1.81163,0.70217,0.66003,0.68735,0.4018,1.52982,1.2677,2.20642,0.000343611,0.000343611,0.000343611
40,1943.07,1.22137,1.06832,1.79255,0.6994,0.63707,0.66295,0.36992,1.58142,1.34853,2.29879,0.000336338,0.000336338,0.000336338
41,1992.76,1.21208,1.05994,1.78456,0.74927,0.64129,0.71059,0.4198,1.53382,1.23235,2.22672,0.000328982,0.000328982,0.000328982
42,2040.13,1.20733,1.0258,1.78616,0.71675,0.65307,0.70375,0.41053,1.53042,1.21824,2.2147,0.00032155,0.00032155,0.00032155
43,2087.66,1.19578,1.02849,1.77248,0.75348,0.62441,0.70158,0.41371,1.53831,1.23006,2.22699,0.000314051,0.000314051,0.000314051
44,2135.24,1.19002,0.99171,1.77026,0.69658,0.64271,0.68126,0.39428,1.54864,1.34793,2.23175,0.00030649,0.00030649,0.00030649
45,2182.44,1.16972,0.98403,1.73746,0.75949,0.63279,0.71182,0.42188,1.55613,1.21519,2.26269,0.000298877,0.000298877,0.000298877
46,2229.84,1.17138,0.98583,1.75101,0.69655,0.65453,0.70004,0.41863,1.5385,1.2272,2.22271,0.000291218,0.000291218,0.000291218
47,2280.23,1.14741,0.94812,1.72866,0.72897,0.66206,0.70277,0.41039,1.53985,1.20976,2.23886,0.00028352,0.00028352,0.00028352
48,2327.05,1.13603,0.94616,1.72052,0.68386,0.66148,0.68679,0.39992,1.55528,1.25365,2.2864,0.000275792,0.000275792,0.000275792
49,2374,1.12986,0.92652,1.70739,0.73012,0.65849,0.70834,0.4202,1.53163,1.21048,2.22475,0.000268041,0.000268041,0.000268041
50,2420.74,1.12004,0.91426,1.69854,0.70612,0.6589,0.68975,0.40268,1.53546,1.20958,2.25409,0.000260274,0.000260274,0.000260274
51,2467.68,1.10868,0.92087,1.70401,0.71749,0.66283,0.68538,0.40234,1.54482,1.21436,2.24381,0.0002525,0.0002525,0.0002525
52,2514.66,1.11046,0.90985,1.69058,0.71701,0.66092,0.69138,0.39917,1.57975,1.22333,2.33187,0.000244726,0.000244726,0.000244726
