epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0828,2.8583,3.4649,3.50952,0.42987,0.17242,0.1226,0.04468,2.69228,3.53141,3.32522,0.0672877,0.000164384,0.000164384
2,106.922,2.20767,2.43919,2.87054,0.16096,0.37288,0.13066,0.05255,2.07018,6.93002,3.00204,0.0341209,0.000330969,0.000330969
3,155.346,1.96477,2.24147,2.6018,0.34938,0.30848,0.25443,0.10609,1.97642,4.82383,2.86628,0.000953852,0.000497231,0.000497231
4,203.986,1.85883,2.18523,2.46048,0.30356,0.34248,0.2489,0.11046,1.92406,4.44776,2.73248,0.000498902,0.000498902,0.000498902
5,251.551,1.78737,2.06786,2.35046,0.48036,0.46119,0.4378,0.21233,1.74871,3.19988,2.51471,0.000498048,0.000498048,0.000498048
6,299.225,1.74525,2.01916,2.32367,0.48288,0.46397,0.43234,0.21323,1.74922,3.12316,2.4777,0.000496953,0.000496953,0.000496953
7,346.623,1.69986,1.95471,2.2631,0.57607,0.50567,0.50408,0.24361,1.80312,2.30759,2.5503,0.000495616,0.000495616,0.000495616
8,396.593,1.65313,1.88101,2.22074,0.48037,0.45919,0.39464,0.19533,1.83149,2.97019,2.63692,0.000494039,0.000494039,0.000494039
9,444.14,1.63113,1.82681,2.20892,0.57464,0.47625,0.49749,0.25973,1.7045,2.13553,2.44174,0.000492224,0.000492224,0.000492224
10,492.042,1.59396,1.75762,2.16496,0.58879,0.55489,0.53883,0.28386,1.68091,1.8682,2.40141,0.000490173,0.000490173,0.000490173
11,539.955,1.61141,1.7711,2.16538,0.63594,0.56347,0.59338,0.31033,1.64028,1.88676,2.35107,0.000487886,0.000487886,0.000487886
12,588.71,1.58177,1.72409,2.14245,0.61433,0.55243,0.57799,0.30874,1.59905,2.01377,2.34395,0.000485368,0.000485368,0.000485368
13,639.139,1.55428,1.66585,2.13745,0.63032,0.56808,0.59766,0.32577,1.56054,1.83233,2.25707,0.00048262,0.00048262,0.00048262
14,687.28,1.54247,1.64027,2.10846,0.64769,0.5756,0.61081,0.33355,1.59264,1.77955,2.28553,0.000479644,0.000479644,0.000479644
15,734.601,1.50275,1.61232,2.07442,0.65657,0.60441,0.63665,0.35569,1.55379,1.60055,2.25002,0.000476445,0.000476445,0.000476445
