epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.714,6.90579,2.74257,7.5171,0.24368,0.30962,0.20448,0.08905,8.24831,11.8193,10.2226,0.0672877,0.000164384,0.000164384
2,77.1468,6.91117,2.19497,7.43029,0.34261,0.36769,0.26985,0.12386,7.64336,9.97079,9.63772,0.0341209,0.000330969,0.000330969
3,111.159,6.75903,2.13837,7.35243,0.26718,0.30254,0.19009,0.08328,8.18249,6.47079,10.1361,0.000953852,0.000497231,0.000497231
4,148.548,6.70496,2.14635,7.31261,0.32217,0.36532,0.24566,0.10635,7.57266,5.27559,9.19639,0.000498902,0.000498902,0.000498902
5,184.141,6.58781,2.07221,7.25135,0.25034,0.32254,0.19796,0.09097,8.14974,3.609,9.56697,0.000498048,0.000498048,0.000498048
6,219.291,6.46027,1.99006,7.10278,0.5416,0.37374,0.39278,0.20159,6.99942,2.25784,8.25582,0.000496953,0.000496953,0.000496953
7,253.314,6.33851,1.9153,7.00608,0.53054,0.50058,0.47104,0.2225,7.1808,1.98434,8.36701,0.000495616,0.000495616,0.000495616
8,287.724,6.25179,1.8461,6.96365,0.53946,0.43323,0.45614,0.23672,6.89708,2.01202,8.0301,0.000494039,0.000494039,0.000494039
9,321.8,6.18622,1.80955,6.91982,0.54368,0.49774,0.49921,0.25525,6.84086,1.91131,8.05805,0.000492224,0.000492224,0.000492224
10,356.455,6.09784,1.75626,6.89275,0.48747,0.49804,0.47028,0.24872,6.65544,2.07575,7.83473,0.000490173,0.000490173,0.000490173
11,389.863,6.09946,1.776,6.8023,0.53657,0.51636,0.5095,0.27312,6.56287,1.89818,7.70734,0.000487886,0.000487886,0.000487886
12,423.365,6.00849,1.69909,6.73076,0.54029,0.47437,0.48756,0.26571,6.43702,2.05783,7.73295,0.000485368,0.000485368,0.000485368
13,457.123,5.9854,1.65453,6.72579,0.63005,0.4851,0.53628,0.28318,6.57302,1.77801,7.74369,0.00048262,0.00048262,0.00048262
14,490.591,5.91364,1.66174,6.63315,0.613,0.54887,0.56791,0.31028,6.31089,1.84392,7.39346,0.000479644,0.000479644,0.000479644
15,524.134,5.81924,1.60669,6.59457,0.60602,0.57078,0.5859,0.31803,6.3895,1.61654,7.62785,0.000476445,0.000476445,0.000476445
16,557.598,5.76394,1.61362,6.59296,0.58392,0.54739,0.55453,0.30336,6.27705,1.72154,7.46127,0.000473024,0.000473024,0.000473024
17,590.846,5.76987,1.59918,6.55035,0.63539,0.5609,0.59691,0.32881,6.24687,1.57443,7.45245,0.000469386,0.000469386,0.000469386
18,624.221,5.78894,1.61095,6.54299,0.62382,0.54935,0.5747,0.3208,6.23254,1.63229,7.37873,0.000465534,0.000465534,0.000465534
19,657.631,5.69399,1.54137,6.50822,0.64124,0.53269,0.58003,0.32067,6.15073,1.60447,7.27986,0.000461471,0.000461471,0.000461471
20,692.321,5.64542,1.52987,6.50419,0.6527,0.55991,0.59625,0.33115,6.14556,1.51762,7.2881,0.000457202,0.000457202,0.000457202
21,726.123,5.63169,1.50207,6.44574,0.65124,0.56164,0.59785,0.33543,6.26234,1.50563,7.36978,0.000452732,0.000452732,0.000452732
22,759.921,5.64496,1.49864,6.45821,0.61506,0.53109,0.57411,0.32096,6.1126,1.66053,7.26419,0.000448063,0.000448063,0.000448063
23,793.404,5.51959,1.47436,6.34777,0.634,0.58548,0.61505,0.34784,6.11734,1.46918,7.18827,0.000443202,0.000443202,0.000443202
24,827.181,5.48813,1.4497,6.31392,0.66773,0.58768,0.63823,0.36324,6.06925,1.46044,7.19304,0.000438152,0.000438152,0.000438152
25,860.809,5.48807,1.44505,6.31405,0.66182,0.57565,0.62697,0.36549,5.97184,1.46867,7.11015,0.00043292,0.00043292,0.00043292
26,894.357,5.43677,1.43293,6.29406,0.68265,0.58017,0.62971,0.36219,6.01326,1.43582,7.05299,0.000427509,0.000427509,0.000427509
27,928.528,5.34738,1.38397,6.2293,0.63015,0.59131,0.62879,0.35997,6.08182,1.41506,7.19207,0.000421925,0.000421925,0.000421925
28,961.856,5.40175,1.38662,6.2282,0.67648,0.57908,0.63962,0.36781,6.00407,1.41571,7.15059,0.000416175,0.000416175,0.000416175
29,995.274,5.3325,1.37014,6.16586,0.64051,0.58079,0.62404,0.36675,5.98054,1.44047,7.06336,0.000410262,0.000410262,0.000410262
30,1028.57,5.26594,1.35599,6.1459,0.624,0.61145,0.62574,0.35404,6.10038,1.45989,7.188,0.000404194,0.000404194,0.000404194
31,1062.41,5.23693,1.32992,6.12442,0.66889,0.59313,0.64225,0.37571,5.97626,1.37796,7.04914,0.000397977,0.000397977,0.000397977
32,1095.86,5.18682,1.3032,6.09272,0.68783,0.60715,0.64193,0.36933,5.99702,1.38624,7.15123,0.000391616,0.000391616,0.000391616
33,1129.38,5.19097,1.30577,6.0584,0.64313,0.62862,0.65309,0.37168,5.95347,1.40067,7.17354,0.000385117,0.000385117,0.000385117
34,1163.04,5.15392,1.29184,6.07284,0.65981,0.60909,0.64796,0.36963,6.03212,1.34435,7.11352,0.000378488,0.000378488,0.000378488
35,1196.8,5.12642,1.29022,6.0363,0.6665,0.60997,0.65798,0.39016,5.87761,1.32362,7.00575,0.000371734,0.000371734,0.000371734
36,1230.21,5.07628,1.2686,6.01225,0.65017,0.62166,0.65539,0.38923,5.93462,1.3481,6.97777,0.000364863,0.000364863,0.000364863
37,1263.46,5.02084,1.25824,5.96449,0.7103,0.6043,0.66417,0.3881,5.96638,1.31647,7.09494,0.00035788,0.00035788,0.00035788
38,1296.86,4.9992,1.24982,5.94909,0.68465,0.59222,0.65022,0.38681,5.8858,1.30957,7.03596,0.000350794,0.000350794,0.000350794
39,1331.03,4.96676,1.22633,5.91878,0.68125,0.61698,0.66328,0.39213,5.9898,1.29618,7.11581,0.000343611,0.000343611,0.000343611
40,1364.31,4.91258,1.21751,5.90453,0.68884,0.59734,0.64929,0.38502,6.00129,1.35109,7.1993,0.000336338,0.000336338,0.000336338
41,1400.18,4.91194,1.19909,5.88228,0.67226,0.61921,0.65743,0.38296,6.01762,1.34754,7.13017,0.000328982,0.000328982,0.000328982
42,1433.31,4.8146,1.18556,5.82132,0.70192,0.60786,0.66635,0.39498,5.97169,1.27236,7.12629,0.00032155,0.00032155,0.00032155
43,1466.65,4.81118,1.16776,5.82436,0.67013,0.59651,0.64599,0.37126,6.19341,1.36938,7.2529,0.000314051,0.000314051,0.000314051
44,1499.95,4.74895,1.14041,5.7762,0.69356,0.63051,0.67179,0.39278,6.04549,1.27309,7.15333,0.00030649,0.00030649,0.00030649
45,1534.1,4.68258,1.13694,5.68295,0.71858,0.62135,0.67905,0.40395,6.03661,1.23052,7.18168,0.000298877,0.000298877,0.000298877
46,1568.1,4.7596,1.14763,5.76327,0.68524,0.62433,0.68009,0.40063,5.9342,1.26886,7.02655,0.000291218,0.000291218,0.000291218
47,1601.62,4.65389,1.12001,5.67847,0.68098,0.63775,0.67378,0.39366,5.99716,1.22915,7.14682,0.00028352,0.00028352,0.00028352
48,1635.12,4.63096,1.1094,5.67661,0.68315,0.63333,0.667,0.39124,6.00679,1.28089,7.15872,0.000275792,0.000275792,0.000275792
49,1668.7,4.58377,1.08302,5.64037,0.68305,0.65533,0.68393,0.40327,5.93585,1.23097,7.06305,0.000268041,0.000268041,0.000268041
50,1702.65,4.54973,1.09265,5.60782,0.66466,0.62132,0.66499,0.38498,6.08598,1.34589,7.26614,0.000260274,0.000260274,0.000260274
51,1736.13,4.47718,1.08763,5.62179,0.70409,0.63105,0.67693,0.399,5.95113,1.22421,7.14459,0.0002525,0.0002525,0.0002525
52,1772.23,4.52815,1.09481,5.59108,0.70367,0.63054,0.6814,0.4028,6.02158,1.25333,7.27675,0.000244726,0.000244726,0.000244726
53,1805.69,4.35973,1.03872,5.49566,0.6856,0.64097,0.6765,0.39026,5.93389,1.25668,7.19433,0.000236959,0.000236959,0.000236959
54,1838.91,4.36054,1.0375,5.49121,0.70257,0.64241,0.69288,0.4056,6.00183,1.20993,7.19658,0.000229208,0.000229208,0.000229208
55,1872.49,4.32924,1.02613,5.45225,0.73732,0.59846,0.68311,0.40507,5.91245,1.23552,7.12711,0.00022148,0.00022148,0.00022148
56,1906.52,4.2446,1.01702,5.42769,0.70162,0.65899,0.70134,0.41411,5.98178,1.18167,7.18405,0.000213782,0.000213782,0.000213782
57,1942.47,4.25365,0.99915,5.43645,0.71386,0.63937,0.69868,0.41135,5.93175,1.1899,7.22106,0.000206123,0.000206123,0.000206123
58,1979.99,4.20396,0.98373,5.3454,0.71596,0.6274,0.69134,0.41127,5.93719,1.19379,7.1871,0.00019851,0.00019851,0.00019851
59,2013.57,4.15228,0.96113,5.33415,0.66848,0.65139,0.68235,0.40303,6.10488,1.20197,7.36755,0.000190949,0.000190949,0.000190949
60,2046.95,4.16075,0.96719,5.35709,0.71217,0.65393,0.70962,0.42073,6.02013,1.15206,7.24808,0.00018345,0.00018345,0.00018345
61,2080.32,4.15637,0.9729,5.40297,0.71668,0.63974,0.7001,0.41402,6.02946,1.19189,7.33903,0.000176018,0.000176018,0.000176018
62,2115.05,4.02698,0.94798,5.25983,0.68991,0.63966,0.69218,0.40957,5.98312,1.20805,7.31646,0.000168662,0.000168662,0.000168662
63,2148.65,4.02325,0.93694,5.25278,0.71786,0.65516,0.69459,0.41257,5.92455,1.17166,7.26611,0.000161389,0.000161389,0.000161389
64,2184.92,4.01373,0.92699,5.2478,0.71041,0.64223,0.69173,0.40974,6.05009,1.20446,7.43169,0.000154206,0.000154206,0.000154206
65,2218.76,3.92706,0.90814,5.19103,0.66656,0.67081,0.68688,0.40661,6.02913,1.18426,7.36006,0.00014712,0.00014712,0.00014712
66,2252.28,3.95387,0.89416,5.20346,0.72962,0.64073,0.6984,0.41358,5.9533,1.2047,7.30336,0.000140137,0.000140137,0.000140137
67,2285.99,3.88062,0.8906,5.15123,0.70084,0.65935,0.70378,0.41666,5.97828,1.15104,7.33345,0.000133266,0.000133266,0.000133266
68,2321.67,3.84962,0.8963,5.14911,0.71674,0.64653,0.69928,0.41434,5.97873,1.16639,7.33199,0.000126512,0.000126512,0.000126512
69,2355.52,3.74947,0.88098,5.11962,0.72615,0.63107,0.70624,0.41917,6.08736,1.15257,7.54803,0.000119883,0.000119883,0.000119883
70,2391.42,3.73325,0.86956,5.07027,0.70919,0.64315,0.70308,0.41681,6.03294,1.165,7.4369,0.000113384,0.000113384,0.000113384
71,2425.1,3.70201,0.85849,5.06573,0.72156,0.64962,0.70287,0.41974,5.997,1.15302,7.41306,0.000107023,0.000107023,0.000107023
72,2458.8,3.70346,0.854,5.05045,0.72627,0.63445,0.6949,0.41495,5.99158,1.16685,7.45005,0.000100806,0.000100806,0.000100806
73,2492.09,3.65139,0.84595,4.98608,0.71138,0.65075,0.70384,0.41631,6.05883,1.16061,7.57009,9.47376e-05,9.47376e-05,9.47376e-05
74,2526.98,3.72873,0.84412,5.0733,0.70393,0.67683,0.70463,0.41522,6.09213,1.16253,7.5329,8.88253e-05,8.88253e-05,8.88253e-05
75,2560.97,3.58766,0.81377,4.94875,0.7136,0.6405,0.69394,0.41384,6.13618,1.17375,7.61756,8.30746e-05,8.30746e-05,8.30746e-05
76,2595.15,3.56511,0.82011,4.9327,0.72182,0.64446,0.6986,0.41748,6.09211,1.15499,7.63139,7.74911e-05,7.74911e-05,7.74911e-05
77,2628.85,3.54713,0.80157,4.94384,0.737,0.64465,0.70507,0.41604,6.09957,1.15446,7.64938,7.20803e-05,7.20803e-05,7.20803e-05
78,2662.22,3.52067,0.80381,4.91754,0.69115,0.65547,0.69456,0.41145,6.12232,1.16695,7.66386,6.68475e-05,6.68475e-05,6.68475e-05
79,2696.35,3.49148,0.80845,4.91069,0.71031,0.64853,0.69914,0.41443,6.15578,1.15854,7.80252,6.1798e-05,6.1798e-05,6.1798e-05
80,2730.05,3.40347,0.77982,4.8744,0.73297,0.63056,0.70043,0.41623,6.16601,1.14834,7.7722,5.69366e-05,5.69366e-05,5.69366e-05
81,2763.75,3.47309,0.80308,4.8815,0.7023,0.65989,0.69946,0.4127,6.16596,1.16069,7.78009,5.22683e-05,5.22683e-05,5.22683e-05
82,2800.28,3.42415,0.78604,4.87007,0.70026,0.65889,0.70259,0.41338,6.18995,1.17506,7.83735,4.77976e-05,4.77976e-05,4.77976e-05
83,2834.18,3.32439,0.75971,4.79971,0.71243,0.65568,0.69964,0.41052,6.18065,1.17154,7.83915,4.35288e-05,4.35288e-05,4.35288e-05
84,2867.69,3.38516,0.76275,4.83144,0.70358,0.65872,0.70665,0.41632,6.17999,1.15062,7.83321,3.94663e-05,3.94663e-05,3.94663e-05
85,2900.98,3.34299,0.77172,4.80747,0.69502,0.65986,0.70345,0.41639,6.20188,1.16377,7.85013,3.56141e-05,3.56141e-05,3.56141e-05
